pE,pN,combined_gap
2.120212766,1.380851064,10.296873429999998
2.268085106,1.380851064,8.079370789999999
2.415957447,1.380851064,6.6343661400000045
2.563829787,1.380851064,5.233301420000004
2.711702128,1.380851064,3.872396690000002
2.859574468,1.380851064,2.548384750000004
3.007446809,1.380851064,1.2584187100000008
3.155319149,1.380851064,0.0
3.303191489,1.380851064,7.98368086
3.45106383,1.380851064,6.987160500000002
3.59893617,1.380851064,13.47254238
3.746808511,1.380851064,12.669785740000002
3.894680851,1.380851064,11.88280253
4.042553191,1.380851064,11.110697940000001
4.190425532,1.380851064,10.352658740000003
4.338297872,1.380851064,9.607943159999998
4.486170213,1.380851064,8.875872430000001
4.634042553,1.380851064,8.15582353
4.781914894,1.380851064,7.4472229699999986
4.929787234,1.380851064,6.749541470000004
5.077659574,1.380851064,17.46225106
5.225531915,1.380851064,16.950424240000004
5.373404255,1.380851064,16.44581675
5.521276596,1.380851064,15.94813148
5.669148936,1.380851064,29.243453730000002
5.817021277,1.380851064,28.93806855
5.964893617,1.380851064,28.636554020000002
6.112765957,1.380851064,28.338766590000002
6.260638298,1.380851064,28.04457138
6.408510638,1.380851064,27.753841440000002
6.556382979,1.380851064,27.466457140000003
6.704255319,1.380851064,27.18230556
6.85212766,1.380851064,26.90128
7.0,1.380851064,26.62327952
0.05,1.528723404,46.43397052
0.1978723404,1.528723404,31.64673648
0.3457446809,1.528723404,25.332979990000002
0.4936170213,1.528723404,20.174175150000003
0.6414893617,1.528723404,19.539669000000004
0.7893617021,1.528723404,16.06170909
0.9372340426,1.528723404,12.904502180000001
1.085106383,1.528723404,9.99292707
1.232978723,1.528723404,7.277275190000005
1.380851064,1.528723404,4.722633380000005
1.528723404,1.528723404,2.748924129999999
1.676595745,1.528723404,0.0
1.824468085,1.528723404,13.887242089999994
1.972340426,1.528723404,8.825124710000004
2.120212766,1.528723404,8.252795399999997
2.268085106,1.528723404,5.78485199
2.415957447,1.528723404,4.339847340000006
2.563829787,1.528723404,2.938782620000005
2.711702128,1.528723404,1.5778778900000034
2.859574468,1.528723404,0.2538659500000051
3.007446809,1.528723404,7.751941970000004
3.155319149,1.528723404,6.7083867000000055
3.303191489,1.528723404,12.834917690000005
3.45106383,1.528723404,11.997541850000005
3.59893617,1.528723404,11.178023580000001
3.746808511,1.528723404,10.375266940000003
3.894680851,1.528723404,9.58828373
4.042553191,1.528723404,8.816179140000003
4.190425532,1.528723404,8.058139940000004
4.338297872,1.528723404,7.313424359999999
4.486170213,1.528723404,6.581353630000002
4.634042553,1.528723404,5.8613047300000005
4.781914894,1.528723404,5.15270417
4.929787234,1.528723404,15.687097430000001
5.077659574,1.528723404,15.167732260000001
5.225531915,1.528723404,14.655905440000005
5.373404255,1.528723404,27.571939640000004
5.521276596,1.528723404,27.258343780000004
5.669148936,1.528723404,26.948934930000004
5.817021277,1.528723404,26.643549750000002
5.964893617,1.528723404,26.342035220000003
6.112765957,1.528723404,26.044247790000004
6.260638298,1.528723404,25.750052580000002
6.408510638,1.528723404,25.459322640000003
6.556382979,1.528723404,25.171938340000004
6.704255319,1.528723404,24.88778676
6.85212766,1.528723404,24.6067612
7.0,1.528723404,24.328760720000002
0.05,1.676595745,44.13060268
0.1978723404,1.676595745,29.564114180000004
0.3457446809,1.676595745,23.029612150000002
0.4936170213,1.676595745,17.870807310000004
0.6414893617,1.676595745,17.236301160000004
0.7893617021,1.676595745,13.75834125
0.9372340426,1.676595745,10.601134340000002
1.085106383,1.676595745,7.68955923
1.232978723,1.676595745,4.973907350000005
1.380851064,1.676595745,2.419265540000005
1.528723404,1.676595745,0.0
1.676595745,1.676595745,14.82832869
1.824468085,1.676595745,11.941087969999998
1.972340426,1.676595745,6.521756870000004
2.120212766,1.676595745,6.306641280000001
2.268085106,1.676595745,3.48148415
2.415957447,1.676595745,2.0364795000000058
2.563829787,1.676595745,0.635414780000005
2.711702128,1.676595745,7.616239370000002
2.859574468,1.676595745,6.578281170000004
3.007446809,1.676595745,12.264903360000005
3.155319149,1.676595745,11.388004100000003
3.303191489,1.676595745,10.531549850000005
3.45106383,1.676595745,9.694174010000005
3.59893617,1.676595745,8.874655740000001
3.746808511,1.676595745,8.071899100000003
3.894680851,1.676595745,7.284915890000001
4.042553191,1.676595745,6.512811300000003
4.190425532,1.676595745,5.754772100000004
4.338297872,1.676595745,5.010056519999999
4.486170213,1.676595745,4.2779857900000025
4.634042553,1.676595745,14.44647475
4.781914894,1.676595745,13.910976340000005
4.929787234,1.676595745,13.383729590000002
5.077659574,1.676595745,25.909035990000003
5.225531915,1.676595745,25.586529410000004
5.373404255,1.676595745,25.268571800000004
5.521276596,1.676595745,24.954975940000004
5.669148936,1.676595745,24.645567090000004
5.817021277,1.676595745,24.340181910000002
5.964893617,1.676595745,24.038667380000003
6.112765957,1.676595745,23.740879950000004
6.260638298,1.676595745,23.446684740000002
6.408510638,1.676595745,23.155954800000004
6.556382979,1.676595745,22.868570500000004
6.704255319,1.676595745,22.58441892
6.85212766,1.676595745,22.30339336
7.0,1.676595745,22.025392880000002
0.05,1.824468085,42.09412318
0.1978723404,1.824468085,27.52763468
0.3457446809,1.824468085,20.993132649999996
0.4936170213,1.824468085,19.122096179999996
0.6414893617,1.824468085,15.199821659999998
0.7893617021,1.824468085,11.721861749999995
0.9372340426,1.824468085,8.564654839999996
1.085106383,1.824468085,5.653079729999995
1.232978723,1.824468085,2.937427849999999
1.380851064,1.824468085,15.716169059999999
1.528723404,1.824468085,15.716169059999999
1.676595745,1.824468085,12.96724493
1.824468085,1.824468085,10.080004209999998
1.972340426,1.824468085,4.485277369999999
2.120212766,1.824468085,4.445557520000001
2.268085106,1.824468085,1.4450046499999942
2.415957447,1.824468085,0.0
2.563829787,1.824468085,7.268836869999994
2.711702128,1.824468085,5.579759869999997
2.859574468,1.824468085,11.597421140000002
3.007446809,1.824468085,10.22842386
3.155319149,1.824468085,9.55334311
3.303191489,1.824468085,8.495070349999999
