n_users,trial,V0,V_DG,V_Xstar,Xstar_size,delta_hat_star,bound,ratio,slack,violated,valid,centralized_success,centralized_solver
40,16,898.6801733121636,756.9129508971722,695.3612305805409,13,36.6897143387385,2.0440172489750705,1.0885176187709562,0.9554996302041143,FALSE,TRUE,TRUE,gekko_apopt
40,17,967.7743908403977,810.0746012958249,739.0798781914641,12,36.791846671741716,1.769013240143253,1.0960582545936517,0.6729549855496013,FALSE,TRUE,TRUE,gekko_apopt
40,18,964.862440352432,832.4523213952339,750.637577517874,12,32.641895996568906,1.626458669779443,1.1089936692856437,0.5174650004937993,FALSE,TRUE,TRUE,gekko_apopt
40,19,921.4059720031261,802.1707723791392,713.924825875946,13,28.585072316340103,1.623901142050626,1.1236067766587614,0.5002943653918646,FALSE,TRUE,TRUE,gekko_apopt
40,20,895.3065071013041,759.84196519288,705.8088267368958,13,40.8354665158892,2.3445787522289976,1.0765549202689784,1.2680238319600192,FALSE,TRUE,TRUE,gekko_apopt
50,1,1142.1471667163248,968.840191113861,895.7471515185772,15,36.610274407444706,1.864333639629677,1.0816000804148445,0.7827335592148326,FALSE,TRUE,TRUE,gekko_apopt
50,2,1185.6470699654672,1086.3913646980918,992.3103507507474,12,30.982788650821842,1.418761645314721,1.0948100701319563,0.32395157518276463,FALSE,TRUE,TRUE,gekko_apopt
50,3,1222.976386198349,1043.1029825530557,936.5592886005211,15,36.63244180336278,1.7614877261028246,1.1137607573266828,0.6477269687761418,FALSE,TRUE,TRUE,gekko_apopt
50,4,1180.5359917145865,994.4166572009735,898.5404269384026,17,54.35815750254825,4.39145887665616,1.1067021887810324,3.2847566878751278,FALSE,TRUE,TRUE,gekko_apopt
50,5,1122.5473956743008,962.042627474226,876.7560641785899,14,44.38242211502262,2.151195104362621,1.0972751336205915,1.0539199707420297,FALSE,TRUE,TRUE,gekko_apopt
50,6,1142.4390858138333,1030.638182533099,953.2000684560455,13,27.106857450291724,1.4117237067718487,1.0812401474146813,0.33048355935716733,FALSE,TRUE,TRUE,gekko_apopt
50,7,1272.616257385405,1082.9578727944415,961.247163136748,15,52.76915329804867,2.5356484294698887,1.1266174968574434,1.4090309326124453,FALSE,TRUE,TRUE,gekko_apopt
50,8,1115.57613251577,958.1762495271776,869.1087071875843,15,32.36419673555696,1.7190751877810728,1.102481475105472,0.6165937126756009,FALSE,TRUE,TRUE,gekko_apopt
50,9,1143.794167875807,974.4319243001858,924.3867359702574,13,35.64901003515166,1.628770038221077,1.0541387996847442,0.5746312385363328,FALSE,TRUE,TRUE,gekko_apopt
50,10,1183.4668212436059,1070.5603800735635,1002.2963957849643,14,34.734212862129674,1.647665866414798,1.068107582323627,0.579558284091171,FALSE,TRUE,TRUE,gekko_apopt
50,11,1239.0823190251706,1002.9794487367351,871.8736416696966,18,37.81903455748107,2.151491808557729,1.150372486104709,1.0011193224530197,FALSE,TRUE,TRUE,gekko_apopt
50,12,1118.080010930941,1019.7547523918494,914.1653459022357,13,29.935955162279264,1.4928320144176506,1.115503619736758,0.3773283946808925,FALSE,TRUE,TRUE,gekko_apopt
50,13,1188.1169943135565,1050.5550905121636,944.6861188006906,14,36.514712955079666,1.7012609624308173,1.1120678811771652,0.5891930812536521,FALSE,TRUE,TRUE,gekko_apopt
