figure_id,block,trial,iteration,pE,pN,esp_gain,nsp_gain,restricted_gap,grid_true_esp_gain,grid_true_nsp_gain,grid_true_gap
C2,C,4,2,3.3910263341287856,0.5,0.0,91.38268342025037,91.38268342025037,13.789227300000007,78.20615837,78.20615837
C2,C,4,3,3.3910263341287856,2.7845670855062594,6.451573932456029,0.0,6.451573932456029,9.301712699999996,4.891148659999999,9.301712699999996
C2,C,4,4,3.223681437894063,2.7845670855062594,0.0,2.9295908533503336,2.9295908533503336,12.798488800000001,7.221903000000012,12.798488800000001
C2,C,4,5,3.223681437894063,2.8578068568400177,0.0,0.0,0.0,12.798488800000001,7.221903000000012,12.798488800000001
C2,C,5,1,0.5,0.5,51.88896915565343,0.0,51.88896915565343,90.79830893000002,164.20579091,164.20579091
C2,C,5,2,2.6954144073550013,0.5,0.0,85.91445776732641,85.91445776732641,14.137894200000005,94.35795711,94.35795711
C2,C,5,3,2.6954144073550013,2.7275507854296617,3.408239472429159,0.0,3.408239472429159,6.495790400000004,9.352252899999996,9.352252899999996
C2,C,5,4,2.4317039822568054,2.7275507854296617,0.0,0.031288311157311455,0.031288311157311455,5.8976495,12.730072899999996,12.730072899999996
C2,C,5,5,2.4317039822568054,2.895269964043881,6.074649715230521,0.0,6.074649715230521,4.861799499999989,5.220613099999994,5.220613099999994
C2,C,5,6,2.33038763379126,2.895269964043881,0.0,0.0,0.0,7.3827742,8.55591179999999,8.55591179999999
C2,C,6,1,0.5,0.5,75.72802531476239,0.0,75.72802531476239,90.79830893000002,164.20579091,164.20579091
C2,C,6,2,3.265941320244337,0.5,0.0,84.6436812771757,84.6436812771757,10.259265400000004,80.53691271000001,80.53691271000001
C2,C,6,3,3.265941320244337,3.025873225054675,0.0,0.0,0.0,8.506574900000004,3.9331689100000062,8.506574900000004
C2,C,7,1,0.5,0.5,62.192010731526835,0.0,62.192010731526835,90.79830893000002,164.20579091,164.20579091
C2,C,7,2,3.3376474302379076,0.5,0.0,67.25196641035333,67.25196641035333,8.233140600000013,78.20615837,78.20615837
C2,C,7,3,3.3376474302379076,2.3272347864145098,0.0,0.0,0.0,0.0,5.722936899999993,5.722936899999993
C2,C,8,1,0.5,0.5,68.10786667894916,0.0,68.10786667894916,90.79830893000002,164.20579091,164.20579091
C2,C,8,2,2.5052184022836066,0.5,0.0,86.21536237838734,86.21536237838734,17.815832200000017,99.61808191,99.61808191
C2,C,8,3,2.5052184022836066,2.8725268703070523,0.0,0.0,0.0,2.393244899999999,3.518018099999992,3.518018099999992
C2,C,9,1,0.5,0.5,72.1659948362398,0.0,72.1659948362398,90.79830893000002,164.20579091,164.20579091
C2,C,9,2,4.641009329200185,0.5,0.0,40.48692817128895,40.48692817128895,4.612097800000015,58.95977056000001,58.95977056000001
C2,C,9,3,4.641009329200185,1.5121732042822238,0.5950583628224422,0.0,0.5950583628224422,2.812809299999998,18.691314190000007,18.691314190000007
C2,C,9,4,3.8361031487998423,1.5121732042822238,0.0,6.896941387700359,6.896941387700359,4.723307900000009,28.187919470000004,28.187919470000004
C2,C,9,5,3.8361031487998423,1.8887519755465996,3.0940973019042985,0.0,3.0940973019042985,3.4889648000000193,12.08053692,12.08053692
C2,C,9,6,3.4454917093123285,1.8887519755465996,0.0,0.05673920609159211,0.05673920609159211,10.7555957,21.83031944999999,21.83031944999999
C2,C,9,7,3.4454917093123285,1.8901704556988894,2.2737254541654153,0.0,2.2737254541654153,10.7555957,21.83031944999999,21.83031944999999
C2,C,9,8,3.1021354516515296,1.8901704556988894,0.0,2.6031321878534612,2.6031321878534612,9.283871099999999,26.657339589999992,26.657339589999992
C2,C,9,9,3.1021354516515296,2.2035257056549473,0.0,0.0,0.0,5.79490629999998,14.576802669999992,14.576802669999992
C2,C,10,1,0.5,0.5,44.040967299107166,0.0,44.040967299107166,90.79830893000002,164.20579091,164.20579091
C2,C,10,2,2.337715067734003,0.5,0.0,64.98621391656499,64.98621391656499,22.851227900000012,104.65597561,104.65597561
C2,C,10,3,2.337715067734003,2.1246553479141252,4.574272068519477,0.0,4.574272068519477,18.08435469999999,40.22644541,40.22644541
C2,C,10,4,2.568505783998726,2.1246553479141252,0.0,0.2148282968696691,0.2148282968696691,10.607445399999989,31.708335910000002,31.708335910000002
C2,C,10,5,2.568505783998726,2.130026055335867,0.0,0.0,0.0,10.607445399999989,31.708335910000002,31.708335910000002
