n_users,trial,final_pE,final_pN,restricted_gap,recorded_final_grid_ne_gap,true_grid_ne_gap,audit_grid_points,audit_stage2_solver_calls,runtime_sec,esp_revenue,nsp_revenue,joint_revenue,source_row_final_grid_ne_gap_source,error
100,9,3.1021354516515296,2.2035257056549473,0.0,0.0,8.768200844695173,120,240,147.76289904199075,109.1028750791019,77.80995041580903,186.91282549491092,restricted_gap_zero_certified,
100,10,2.568505783998726,2.130026055335867,0.0,0.0,3.7905544252207903,120,240,120.63663254200947,98.68459584524288,84.80104221343467,183.48563805867755,restricted_gap_zero_certified,
150,1,2.857849006046319,2.7688382702868424,0.0,0.0,6.539157014786667,120,240,436.70166274998337,123.77436824833956,110.3535308114737,234.12789905981327,restricted_gap_zero_certified,
150,2,4.92679656639285,1.8290162514642239,0.0,0.0,1.2690927225392414,120,240,354.00877295807004,116.4179548792821,71.47864110541622,187.8965959846983,restricted_gap_zero_certified,
150,3,5.236468418135505,2.907026910064831,0.0,0.0,10.965982420936172,120,240,485.8048892910592,204.1870151724641,115.88107640259325,320.06809157505734,restricted_gap_zero_certified,
150,4,3.548350789641332,2.9549526748745087,0.0,0.0,2.9593000125177156,120,240,390.66190925007686,141.03914058617053,117.79810699498034,258.8372475811509,restricted_gap_zero_certified,
150,5,3.434398338622461,2.9156443858852086,0.0,0.0,8.962077215103534,120,240,367.2250388750108,131.45778107602283,116.22577543540837,247.6835565114312,restricted_gap_zero_certified,
150,6,3.158322939485162,3.5351519624808154,0.0,0.0,2.771974545875338,120,240,453.45578229101375,142.2261495634292,140.53510255386146,282.76125211729067,restricted_gap_zero_certified,
150,7,5.3167129984463415,2.9171244856476686,0.0,0.0,12.169809575602159,120,240,368.573647000012,147.01573947693814,105.55717424161823,252.57291371855638,restricted_gap_zero_certified,
150,8,4.142914672858241,3.4099340294970175,0.0,0.0,17.344659261248324,120,240,395.96175358397886,132.06916640824383,109.66412302527293,241.73328943351675,restricted_gap_zero_certified,
150,9,5.473368130725956,3.1250108233217233,0.0,0.0,12.052606559134276,120,240,485.02785900002345,202.47487893900723,124.60043293286894,327.0753118718762,restricted_gap_zero_certified,
150,10,4.619566303345881,3.4386275792915515,0.0,0.0,0.40778039927775467,120,240,465.6445192079991,175.8403923557943,137.14510317166207,312.98549552745635,restricted_gap_zero_certified,
200,1,4.290842249831346,3.8004991887352806,0.0,0.0,7.294871451049943,120,240,980.4059278749628,172.272715414361,149.34086870544417,321.6135841198052,restricted_gap_zero_certified,
200,2,3.5361762049019414,3.831474885312231,0.0,0.0,6.20318946146034,120,240,940.9101894580526,169.9364985661652,152.8589954124892,322.7954939786544,restricted_gap_zero_certified,
200,3,4.588946759855281,3.348446068813185,0.0,0.0,0.0,120,240,864.1221238749567,164.91333581701903,132.70334148873926,297.6166773057583,restricted_gap_zero_certified,
200,4,3.0881375371060527,3.4363765597365057,0.0,0.0,7.77382094116993,120,240,825.650737916003,139.09004591095427,137.05506238946023,276.1451083004145,restricted_gap_zero_certified,
200,5,4.129938739366248,3.7390620911387322,0.0,0.0,9.81214760404626,120,240,889.5187738330569,157.47064158042832,141.13024891719695,298.6008904976253,restricted_gap_zero_certified,
200,6,3.1610498892673817,4.25963850750701,0.0,0.0,0.0,120,240,1037.8603497919394,176.1065019112203,169.98554030028038,346.0920422115007,restricted_gap_zero_certified,
