method,n_users,trial,success,final_pE,final_pN,offloading_size,restricted_gap,final_grid_ne_gap,final_grid_ne_gap_source,esp_revenue,nsp_revenue,joint_revenue,runtime_sec,stage2_solver_calls,audit_stage2_solver_calls,total_stage2_solver_calls,error
Proposed,250,3,1,3.780172063636577,3.976762617761618,17,0.0,0.0,restricted_gap_zero_certified,171.37054344400988,158.67050471046474,330.04104815447465,2.3896268340176903,49,0,49,
Proposed,250,4,1,3.7755125518483106,4.643413687327874,19,0.0,0.0,restricted_gap_zero_certified,189.99403085099942,172.4437238457937,362.43775469679315,6.549279416969512,121,0,121,
Proposed,250,5,1,3.823647358019101,4.2274765087761175,17,0.0,0.0,restricted_gap_zero_certified,175.21234081833808,163.56454286905935,338.77688368739746,1.7810119159985334,37,0,37,
Proposed,250,6,1,4.510949954279422,3.719333575792756,17,0.0,0.0,restricted_gap_zero_certified,187.37821651514267,148.37334303171025,335.75155954685295,2.1929674580460414,49,0,49,
Proposed,250,7,1,4.747988043845019,3.4058588282964064,14,0.0,0.0,restricted_gap_zero_certified,162.5833140479526,132.90634931753232,295.48966336548494,1.4164801249862649,43,0,43,
Proposed,250,8,1,4.481218905628022,3.466961860655078,17,0.0,0.0,restricted_gap_zero_certified,182.1176862936333,138.2784744262031,320.3961607198364,2.5252570000011474,55,0,55,
Proposed,250,9,1,3.993202659292543,4.0357832631240775,16,0.0,0.0,restricted_gap_zero_certified,157.83605192070334,148.35329303863108,306.18934495933445,2.675431874988135,61,0,61,
Proposed,250,10,1,4.116130366759239,2.9128745132853924,15,0.0,0.0,restricted_gap_zero_certified,150.46343502546043,116.07588163205496,266.53931665751537,2.7420968749793246,61,0,61,
GA,50,3,1,4.321771,2.712916,10,0.5893176744029489,0.2365148875171741,audit_grid,110.15689461322857,83.73097650373212,193.8878711169607,566.2519470420084,3092,240,3332,
BO-online,50,3,1,4.859165015332774,2.2212923056350737,10,3.27789459276876,1.006982328163346,audit_grid,116.83501321647506,75.70334668086649,192.53835989734154,191.65149712504353,1071,240,1311,
MARL,50,3,1,4.802,5.401,5,24.79368579008848,28.386219696822984,audit_grid,58.229831390145236,49.087575702104296,107.31740709224954,10.118199915974401,60,240,300,
GA,50,4,1,0.638263,3.281798,10,0.0204588786140647,0.0007757793371894195,audit_grid,37.113008073523055,99.74448602888565,136.8574941024087,343.0035771250259,3269,240,3509,
BO-online,50,4,1,4.979367794265664,0.8325123401645566,6,16.031053348803347,3.213403687233644,audit_grid,63.975718866465265,32.90049360658226,96.87621247304753,116.14698554103961,1071,240,1311,
MARL,50,4,1,4.802,5.401,1,15.380342406351266,31.339575707388686,audit_grid,8.828306313857357,5.7745901399544515,14.602896453811809,5.451157292001881,60,240,300,
GA,50,5,1,0.890436,2.884634,12,2.7013249404562316,1.7944719327730922,audit_grid,55.40857286553598,114.98536,170.393932865536,404.6043439999921,3141,240,3381,
BO-online,50,5,1,2.669811982071325,1.539465080082788,9,12.408019374496575,5.265094275680092,audit_grid,74.4687031442185,61.17860320331153,135.64730634753002,135.58658112504054,1071,240,1311,
MARL,50,5,1,4.802,5.401,1,20.930554200352375,41.24802095985038,audit_grid,11.636806395416336,10.094853097567933,21.73165949298427,6.497291166975629,60,240,300,
GA,50,6,1,4.083137,2.429918,7,0.23599575995953614,0.03819116548075385,audit_grid,75.90268374615096,65.17267194196573,141.0753556881167,306.13255741697503,2437,240,2677,
BO-online,50,6,1,3.5114806265734604,2.6117137417950356,7,2.3556489267406704,2.215999590098832,audit_grid,70.36094753603514,67.58610355056328,137.94705108659844,145.69292520801537,1071,240,1311,
MARL,50,6,1,4.802,5.401,2,16.971323728346736,34.01435011651594,audit_grid,24.284470525267412,26.150509000732146,50.43497952599956,7.247428000031505,60,240,300,
GA,50,7,1,3.854283,4.22982,8,0.09675984926428782,0.0760231768608719,audit_grid,77.25208801680029,76.10128131843794,153.35336933523823,544.9031704170047,3701,240,3941,
BO-online,50,7,1,5.9709295415640975,2.398380298858144,7,5.684832078399069,5.389166596112744,audit_grid,84.3551163763345,52.4413111244842,136.7964275008187,171.34173104102956,1071,240,1311,
MARL,50,7,1,4.802,5.401,2,44.56827530210572,44.00377897084198,audit_grid,23.87009894812437,22.926261196808788,46.79636014493316,9.106930124980863,60,240,300,
GA,50,8,1,3.640526,4.385997,5,4.84347709543038,1.2639095872960127,audit_grid,53.41593871641099,39.61418590008132,93.03012461649232,327.00374233402545,2919,240,3159,
