figure_id,block,method,n_users,trial,runtime_sec,restricted_gap,offloading_size,final_pE,final_pN
D2,D,GA,16,9,528.2359750997275,0.010688677183502193,5,2.624799,1.140686
D2,D,BO,16,9,50.658781399950385,0.34558915590345407,5,3.207499596463736,0.9651674729507361
D2,D,MARL,16,9,3.2346395002678037,14.71333410728299,3,4.716428571428572,0.8657142857142858
D2,D,VBBR,16,10,1.3245774004608393,9.498788092198993,6,2.63480664512388,0.9247172010152405
D2,D,GA,16,10,598.3859215006232,0.12332859113548977,7,2.683074,0.898766
D2,D,BO,16,10,51.824328899383545,3.750685638862592,6,2.172528077897853,1.5228061546568932
D2,D,MARL,16,10,3.1485262997448444,7.8199898057600805,6,0.8657142857142858,2.577142857142857
D2,D,VBBR,20,1,1.4394641006365418,0.0,9,1.86531659864198,1.1977902666325646
D2,D,GA,20,1,643.8494133995846,0.18752949872426683,2,5.4015,4.814441
D2,D,BO,20,1,83.30954769998789,3.6388242330539597,9,1.7865094872036518,1.1797330411189701
D2,D,MARL,20,1,5.958301300182939,15.057801565178124,6,4.716428571428572,0.4378571428571429
D2,D,VBBR,20,2,0.34731619991362095,0.0,5,3.8531824580969745,0.524461694651281
D2,D,GA,20,2,780.7577202999964,1.0329472412803078,6,0.805785,2.401089
D2,D,BO,20,2,78.94636739976704,0.2109271031936828,5,4.259529859561816,0.8259232616673106
D2,D,MARL,20,2,4.772585200145841,8.725922843188712,4,4.716428571428572,0.8657142857142858
D2,D,VBBR,20,3,0.36366309970617294,0.0,3,7.356904630277709,3.5701036305117997
D2,D,GA,20,3,858.0937145994976,0.03623829386991417,4,5.589525,5.922448
D2,D,BO,20,3,96.66043840069324,1.00304179393909,4,5.85586143101261,5.226980906391949
D2,D,MARL,20,3,6.289859400130808,6.081628065982869,4,4.716428571428572,5.5721428571428575
D2,D,VBBR,20,4,1.0635810997337103,0.0,9,2.3056277984555296,1.0696627521126745
D2,D,GA,20,4,919.9266524994746,0.13015783790726232,4,4.883042,4.086723
