pE,pN,esp_revenue,nsp_revenue,joint_revenue,eps,social_cost,centralized_success
2.848484848,0.1212121212,51.26288897,4.448484849,55.71137382,26.12652344,436.9185524,1
2.909090909,0.1212121212,51.8100951,4.448484848,56.25857995,26.12810617,438.0073412,1
2.96969697,0.1212121212,52.35026595,4.448484849,56.79875079,24.24242424,439.0848455,1
3.03030303,0.1212121212,52.88520674,4.448484848,57.33369159,26.12817899,440.1514104,1
3.090909091,0.1212121212,55.21554279,4.448484848,59.66402764,24.24242424,444.720958,1
3.151515152,0.1212121212,53.93934821,4.448484848,58.38783306,21.81818182,442.2530106,1
3.212121212,0.1212121212,54.4587123,4.448484848,58.90719715,24.24242424,443.2886524,1
3.272727273,0.1212121212,54.97334961,4.448484848,59.42183445,21.81818182,444.3145693,1
3.333333333,0.1212121212,45.80492371,4.448484848,50.25340856,24.24242424,449.3910745,1
3.393939394,0.1212121212,46.22324055,4.448484848,50.6717254,21.81818182,450.2226324,1
3.454545455,0.1212121212,46.63488257,4.448484848,51.08336742,21.81818182,451.046798,1
3.515151515,0.1212121212,56.98508412,4.448484848,61.43356897,17.64111951,448.3261873,1
3.575757576,0.1212121212,57.47705805,4.448484848,61.9255429,17.64082063,449.3072807,1
3.636363636,0.1212121212,57.96463927,4.448484848,62.41312412,19.39393939,450.2800944,1
3.696969697,0.1212121212,49.72392264,4.448484848,54.17240749,18.73265587,452.8999437,1
3.757575758,0.1212121212,49.83953027,4.448484848,54.28801511,18.73258411,453.1320771,1
3.818181818,0.1212121212,50.24204458,4.448484848,54.69052943,16.96969697,453.934861,1
3.878787879,0.1212121212,52.65836736,4.448484849,57.10685221,16.96969697,457.6898426,1
3.939393939,0.1212121212,51.03731434,4.448484848,55.48579919,16.96969697,455.5215379,1
4,0.1212121212,53.47993715,4.448484849,57.928422,14.54545455,459.3270068,1
4.060606061,0.1212121212,53.88568269,4.448484848,58.33416754,21.81818182,460.136286,1
4.121212121,0.1212121212,54.2881638,4.448484848,58.73664865,14.54545455,460.9395479,1
4.181818182,0.1212121212,54.68774353,4.448484848,59.13622838,14.54545455,461.736925,1
4.242424242,0.1212121212,41.48839692,4.448484848,45.93688177,16.47624235,461.3726814,1
4.303030303,0.1212121212,55.47808217,4.448484849,59.92656702,12.12121212,463.3145298,1
4.363636364,0.1212121212,55.86971708,4.448484848,60.31820193,12.12121212,464.0949993,1
4.424242424,0.1212121212,56.25814166,4.448484849,60.70662651,10.85358594,464.8700667,1
4.484848485,0.1212121212,56.64232414,4.448484848,61.09080899,9.696969697,465.6398441,1
4.545454545,0.1212121212,57.02695912,4.448484849,61.47544397,9.696969697,466.4044369,1
4.606060606,0.1212121212,55.1825432,4.448484848,59.63102805,9.696969697,467.0794375,1
4.666666667,0.1212121212,45.03346311,4.448484848,49.48194796,12.93117616,467.7629825,1
4.727272727,0.1212121212,45.32601806,4.448484848,49.77450291,12.63862121,468.3472005,1
4.787878788,0.1212121212,45.61744679,4.448484848,50.06593164,12.34719248,468.9276848,1
4.848484848,0.1212121212,45.90621984,4.448484849,50.35470469,12.05841943,469.5045068,1
4.909090909,0.1212121212,46.19268678,4.448484848,50.64117163,11.77195249,470.077735,1
4.96969697,0.1212121212,47.20505209,4.448484848,51.65353694,10.75958719,470.3796546,1
5.03030303,0.1212121212,47.49299039,4.448484848,51.94147524,10.47164888,470.9547391,1
5.090909091,0.1212121212,36.7978698,4.448484849,41.24635465,21.16676947,471.5107867,1
5.151515152,0.1212121212,37.01694674,4.448484849,41.46543159,20.94769253,471.9484226,1
5.212121212,0.1212121212,37.23526026,4.448484848,41.6837451,20.72937902,472.3834916,1
5.272727273,0.1212121212,37.45214269,4.448484848,41.90062754,20.51249658,472.8160385,1
5.333333333,0.1212121212,37.66758069,4.448484849,42.11606553,20.29705859,473.2461064,1
5.393939394,0.1212121212,37.88180001,4.448484849,42.33028485,20.08283927,473.6737377,1
5.454545455,0.1212121212,38.0946576,4.448484849,42.54314245,19.86998167,474.0989733,1
5.515151515,0.1212121212,38.30656709,4.448484849,42.75505194,19.65807219,474.5218529,1
5.575757576,0.1212121212,38.51711556,4.448484848,42.96560041,19.44752371,474.9424153,1
5.636363636,0.1212121212,36.30769217,4.448484849,40.75617702,21.65694711,473.5871166,1
5.696969697,0.1212121212,36.48722075,4.448484848,40.9357056,21.47741852,473.9769869,1
5.757575758,0.1212121212,36.68133002,4.448484848,41.12981487,21.28330925,474.3648028,1
5.818181818,0.1212121212,36.87457852,4.448484848,41.32306336,21.09006076,474.7505831,1
5.878787879,0.1212121212,37.06621103,4.448484848,41.51469587,20.89842825,475.1343594,1
5.939393939,0.1212121212,37.25827465,4.448484848,41.7067595,20.70636462,475.5161621,1
6,0.1212121212,37.44835606,4.448484848,41.89684091,20.51628321,475.896022,1
0,0.1818181818,-1,6.872727273,5.872727273,84.84848485,322.1572861,1
0.06060606061,0.1818181818,5.060606061,6.872727273,11.93333333,73.2732107,329.3836077,1
0.1212121212,0.1818181818,11.12121212,6.872727273,17.99393939,75.15151515,334.2784982,1
0.1818181818,0.1818181818,17.18181818,6.872727273,24.05454545,72.72727273,341.5048201,1
0.2424242424,0.1818181818,23.0417172,6.872727273,29.91444447,70.3030303,344.3478071,1
0.303030303,0.1818181818,23.1531569,6.872727273,30.02588418,67.87878788,355.1670717,1
0.3636363636,0.1818181818,22.89656479,6.872727273,29.76929206,65.45454545,359.6290391,1
0.4242424242,0.1818181818,26.0851666,6.872727273,32.95789387,63.03030303,362.2188344,1
0.4848484848,0.1818181818,28.08660601,6.872727273,34.95933328,60.60606061,369.2266613,1
0.5454545455,0.1818181818,28.49229749,6.872727273,35.36502476,58.18181818,373.939812,1
0.6060606061,0.1818181818,31.53389678,6.872727273,38.40662406,55.75757576,375.9966129,1
0.6666666667,0.1818181818,34.77863398,6.872727273,41.65136126,55.75757576,374.0664354,1
0.7272727273,0.1818181818,36.35966137,6.872727273,43.23238865,51.3892845,377.2057706,1
0.7878787879,0.1818181818,34.21415041,6.872727273,41.08687768,50.32710081,381.8521535,1
0.8484848485,0.1818181818,39.35544147,6.872727273,46.22816874,49.24408218,383.1141041,1
0.9090909091,0.1818181818,36.81538616,6.872727273,43.68811343,48.48484848,386.9930332,1
0.9696969697,0.1818181818,38.04988803,6.872727273,44.9226153,45.86374476,389.4346904,1
1.03030303,0.1818181818,35.62140192,6.872727273,42.49412919,43.28938992,392.7819792,1
1.090909091,0.1818181818,36.67490919,6.872727273,43.54763646,42.16419506,394.8676946,1
1.151515152,0.1818181818,37.69419126,6.872727273,44.56691853,41.02751548,396.8962461,1
