n_users,trial,final_pE,final_pN,restricted_gap,recorded_final_grid_ne_gap,true_grid_ne_gap,audit_grid_points,audit_stage2_solver_calls,runtime_sec,esp_revenue,nsp_revenue,joint_revenue,source_row_final_grid_ne_gap_source,error
200,7,3.914908026504228,3.059104999392821,0.0,0.0,4.882858847816578,120,240,1324.0659542079993,147.75576156048334,121.96419997571284,269.7199615361962,restricted_gap_zero_certified,
200,8,4.763149830985427,3.3847105220990916,0.0,0.0,4.467191187396679,120,240,1346.8907377079995,173.49809109907434,134.9884208839637,308.48651198303804,restricted_gap_zero_certified,
200,9,4.986759294959907,2.799991354491511,0.0,0.0,8.36494225853778,120,240,1401.166294875,178.23737525548245,106.87605277433106,285.1134280298135,restricted_gap_zero_certified,
200,10,2.680920165098882,4.794086829870113,0.0,0.0,8.892056817436185,120,240,1451.6940595839988,154.78915375073964,177.30988253385428,332.0990362845939,restricted_gap_zero_certified,
250,1,4.093478354094465,3.3215018029710723,0.0,0.0,10.671125558169024,120,240,2260.071919124999,152.1399395822065,118.27411660520691,270.4140561874134,restricted_gap_zero_certified,
250,2,4.880791457439631,4.630402700152742,0.0,0.0,7.895670125541216,120,240,3382.678947583001,242.1887318894837,184.8161080061097,427.00483989559336,restricted_gap_zero_certified,
250,3,3.3528468340639965,4.315807976574551,0.0,0.0,0.9906176523948602,120,240,2474.453473292,168.74035442383638,172.23231906298204,340.9726734868184,restricted_gap_zero_certified,
250,4,3.7903496272654356,4.13716741251963,0.0,0.0,8.726543373895225,120,240,2782.265021166,190.36896469373627,162.72921978205918,353.09818447579545,restricted_gap_zero_certified,
250,5,3.817393043929562,4.233922595058138,0.0,0.0,8.482634366492874,120,240,2540.1645362080017,175.06823324306797,163.68978846730093,338.7580217103689,restricted_gap_zero_certified,
250,6,5.623164371593495,3.219133290739762,0.0,0.0,4.751147137477886,120,240,2493.1097345829985,195.14320209512294,128.36533162959051,323.50853372471346,restricted_gap_zero_certified,
250,7,4.870441296933229,3.2700691461904663,0.0,0.0,10.307224140475938,120,240,2358.1309205829966,164.67526284728476,130.21402584329513,294.88928869057986,restricted_gap_zero_certified,
250,8,4.446485028594551,3.4950508939618583,0.0,0.0,3.55258609026518,120,240,2762.1833937089978,181.40734788013393,139.4020357584743,320.8093836386082,restricted_gap_zero_certified,
250,9,3.993202659292543,4.0357832631240775,0.0,0.0,7.836286468488936,120,240,2419.0842776659993,157.83605192070334,148.35329303863108,306.18934495933445,restricted_gap_zero_certified,
250,10,3.732600360028548,3.1413645780287616,0.0,0.0,1.7486513001061184,120,240,2242.1474238329974,153.70877053157486,125.25458312115049,278.96335365272535,restricted_gap_zero_certified,
