n_users,trial,V0,V_DG,V_Xstar,X_DG_size,Xstar_size,delta_hat_star,bound,ratio,slack,violated,valid,rollback_count,accepted_admissions,inner_call_count,runtime_sec,used_exact_inner,stage2_method,inner_solver_mode,centralized_success,centralized_solver
100,18,2411.7728218014,2167.8990980628655,2048.965953800148,9,17,45.00735501562394,1.4373234435063749,1.058045446798243,0.3792779967081319,False,True,60,69,131,0.030045599676668644,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
100,19,2418.4084977370326,2215.703561523247,2083.1651551171485,8,16,38.438209590775884,1.3197150143488536,1.0636235711223028,0.25609144322655086,False,True,48,56,106,0.02468710020184517,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
100,20,2325.2144817327694,2075.5353272911025,nan,11,-1,38.537902114304444,nan,nan,nan,False,False,66,77,145,0.03337409999221563,False,algorithm_2_plus_algorithm_1,primal_dual,False,pyomo_scip
100,21,2266.711924453009,2090.3517127635914,1999.0539159764476,8,16,35.00970151862363,1.3077222823781054,1.0456705024599344,0.26205177991817097,False,True,58,66,126,0.024836099706590176,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
100,22,2232.154247566257,2009.5741683143679,1882.3641467343666,9,16,42.631238636060075,1.4125458870452987,1.0675799216643032,0.34496596538099555,False,True,12,21,35,0.005548800341784954,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
100,23,2267.5062911458826,2035.5993752134214,1929.8573533259846,11,18,37.18283593917503,1.3955088109964016,1.0547926621131853,0.3407161488832162,False,True,59,70,131,0.022148700430989265,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
100,24,2400.272994962307,2140.7387528708496,2006.7532590840867,10,21,54.42882552984575,1.8658271792381351,1.0667672984609557,0.7990598807771794,False,True,63,73,138,0.029066800139844418,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
100,25,2419.3860039309134,2144.9723442582526,2007.204243700409,11,19,48.623063162060454,1.5852137488771554,1.0686368121182621,0.5165769367588933,False,True,61,72,135,0.03450800012797117,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
150,1,3393.8522266679956,3188.050360088765,2967.6383700846704,10,20,39.79420034961893,1.2910311992720085,1.074271849368832,0.21675934990317658,False,True,21,31,54,0.016970399767160416,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
150,2,3605.6379968651454,3403.835063547061,3169.150613352406,12,23,42.19036548364851,1.3522188265252428,1.0740527916867921,0.2781660348384507,False,True,14,26,42,0.012572499923408031,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
150,3,3686.00146291936,3430.8139164603317,3191.8168329116193,11,20,46.91495077992525,1.3244106965394753,1.0748780697828126,0.24953262675666266,False,True,13,24,39,0.008052199147641659,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
150,4,3695.800877346882,3443.3667468054477,3260.960290732813,9,20,47.55040308885351,1.3291533166231568,1.055936423571611,0.27321689305154573,False,True,80,89,171,0.047476399689912796,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
150,5,3517.4871168615623,3221.815253092035,3072.6043857561294,12,22,43.177590172701514,1.3531455092485682,1.0485616918427938,0.30458381740577445,False,True,101,113,216,0.06624379940330982,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
150,6,3555.6848506377482,3347.343601644713,3169.8386442849624,10,20,35.382082234243434,1.2360426137656522,1.0559981050391263,0.1800445087265259,False,True,15,25,42,0.009221400134265423,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
150,7,3405.6038949753797,3174.092861256864,2989.469755877647,9,20,45.7661879098396,1.3491806232738968,1.0617578100652219,0.2874228132086749,False,True,52,61,115,0.03544650040566921,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
150,8,3448.9711011204045,3251.1544267053023,3119.7024151345004,8,18,46.75304586419628,1.3048235094410274,1.0421360739194525,0.2626874355215749,False,True,67,75,144,0.03238390013575554,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
150,9,3548.421188318027,3317.884522362069,3127.7679603920997,11,21,52.63804148163318,1.4309255884480203,1.060783461042339,0.3701421274056813,False,True,21,32,55,0.011556699872016907,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
150,10,3701.0305282983995,3467.136917900656,3230.805652097943,11,20,39.736827630654304,1.2597809207530015,1.073149329068819,0.18663159168418253,False,True,10,21,33,0.011461900547146797,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
150,11,3524.270448294638,3312.149429802612,3153.461495907801,9,18,45.03752049522353,1.2821488932658145,1.0503218238436518,0.2318270694221627,False,True,43,52,97,0.022139299660921097,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
150,12,3353.9853911542623,3105.502875896524,2912.2063303325076,11,22,50.835714312276025,1.4775228820627586,1.0663746052436973,0.4111482768190613,False,True,16,27,45,0.010020500048995018,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
150,13,3424.0210640031814,3216.139277617104,3071.028905635538,9,18,43.34564580539988,1.278718562263365,1.0472513859167132,0.23146717634665182,False,True,37,46,85,0.02182949986308813,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
150,14,3442.405606658107,3213.9247892795843,3027.8820193943366,10,22,37.35519980540718,1.2993443588755766,1.0614432031015733,0.2379011557740034,False,True,69,79,150,0.031179499812424183,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
150,15,3860.3262579240727,3568.79946005,3365.5691152200743,11,23,45.847268561759535,1.3594788864363296,1.0603851348382238,0.2990937515981058,False,True,93,104,199,0.04717539995908737,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
150,16,3403.9975937629256,3132.4901438724323,2988.4830487390127,10,21,53.0703148873863,1.4635931736362073,1.0481873555194443,0.415405818116763,False,True,79,89,170,0.048107899725437164,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
150,17,3469.847509578326,3290.924941839126,3137.35179975562,8,17,37.04859054173683,1.2087228758136157,1.0489499271632428,0.15977294865037295,False,True,92,100,194,0.053272999823093414,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
150,18,3549.6474868022424,3335.822891836126,3142.1607906664913,10,22,45.34600447780747,1.373139846885841,1.0616334153697324,0.31150643151610846,False,True,31,41,74,0.02326320018619299,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
150,19,3308.687429105402,3080.070571009009,2985.18932423414,9,17,47.49545190746831,1.303817191494279,1.0317839964134308,0.27203319508084833,False,True,94,103,199,0.0670643001794815,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
150,20,3367.626907228362,3086.322246594999,2923.3859515568315,9,20,50.623804065584025,1.4084036855141624,1.0557354717229166,0.3526682137912458,False,True,82,91,175,0.05991240032017231,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
150,21,3564.5472854744994,3332.943243054905,3202.2855320072863,9,19,42.32327255270357,1.2759808348507304,1.0408013931742428,0.23517944167648763,False,True,97,106,205,0.04518429934978485,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
150,22,3292.023073133606,3089.3571704987944,2949.561643676869,7,19,46.81129217547512,1.3507035172452622,1.0473953569072245,0.30330816033803765,False,True,96,103,201,0.059244200587272644,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
150,23,3302.126539504361,3132.263697400236,2963.5107757465335,10,19,40.922193342323986,1.291768224834663,1.0569435829404712,0.23482464189419172,False,True,6,16,24,0.005892499350011349,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
150,24,3510.3957578902728,3255.2384956778133,3091.8509864120865,10,19,46.125987817078496,1.315211523779952,1.0528445613917923,0.2623669623881597,False,True,89,99,190,0.05911329947412014,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
150,25,3404.599337055759,3185.2335878005865,3033.927988427553,8,19,41.83763796861071,1.288570348442254,1.049871190071144,0.23869915837111,False,True,96,104,202,0.05558370053768158,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
200,1,4723.359070502786,4503.29841958234,4307.13121388633,8,18,44.458931544288,1.1926543201152136,1.045544747989929,0.14710957212528464,False,True,131,139,272,0.052719700150191784,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
200,2,4395.7281318925125,4144.84780192375,3907.231988219634,11,22,45.59033551348241,1.2821898624629582,1.0608143602480047,0.2213755022149535,False,True,24,35,61,0.018130900338292122,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
200,3,4560.81965428599,4289.366299536171,4089.8175838897487,12,21,42.412728091536074,1.2311224378767112,1.0487915931586942,0.18233084471801697,False,True,32,44,78,0.02450140006840229,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
200,4,4795.5426122073895,4579.11844655087,4373.846163212279,9,21,44.23012209490884,1.228773926895992,1.0469317565544722,0.18184217034151984,False,True,74,83,159,0.038510299287736416,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
200,5,4580.860122960134,4395.589451147145,4234.222741956948,9,19,38.77293977045393,1.181550800597407,1.0381101134787296,0.1434406871186773,False,True,49,58,109,0.028714499436318874,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
200,6,4775.959997539025,4396.285572448548,4217.649669044018,14,23,55.151072703426905,1.3459240700745594,1.0423543720844457,0.3035696979901137,False,True,61,75,138,0.043394300155341625,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
200,7,4829.275560576141,4534.846991868611,4293.958216988535,13,24,48.12468176086937,1.301247242185228,1.0560994687668428,0.24514777341838512,False,True,31,44,77,0.029187100008130074,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
200,8,4911.881793122676,4701.315944201026,4442.090626214016,11,22,41.59258837126994,1.2185334654721696,1.0583566027350384,0.16017686273713116,False,True,12,23,37,0.010877499356865883,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
200,9,4468.646698432376,4261.59612728647,4058.16851824107,9,20,47.2892064076694,1.255046827351702,1.0501279353311752,0.2049188920205267,False,True,44,53,99,0.02603369951248169,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
200,10,4496.008817321001,4253.2630217635215,4053.398269889787,9,21,43.74285278818469,1.2445504771957159,1.049307948187181,0.1952425290085349,False,True,73,82,157,0.03821809962391853,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
200,11,4587.2575244467835,4341.321808971328,4142.841204829547,10,20,43.125033794775696,1.2199809747096462,1.0479092956569036,0.17207167905274257,False,True,59,69,130,0.034123800694942474,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
200,12,4776.636322567601,4540.64721275746,4339.133320101263,10,21,48.936585090258255,1.2610669636263465,1.0464410465847345,0.21462591704161205,False,True,54,64,120,0.030851099640130997,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
200,13,4586.316592416146,4371.6971706052,4091.0827604799447,12,25,38.467253207600706,1.2547053731457134,1.0685917216918719,0.1861136514538415,False,True,17,29,48,0.01310889981687069,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
