pE,pN,combined_gap
1.895762712,0.4694915254,101.96963808
1.979661017,0.4694915254,99.97681558
2.063559322,0.4694915254,97.65843198
2.147457627,0.4694915254,95.12668888
2.231355932,0.4694915254,92.17186698
2.315254237,0.4694915254,89.05808588
2.399152542,0.4694915254,87.29821158
2.483050847,0.4694915254,85.34067618
2.566949153,0.4694915254,83.27645238
2.650847458,0.4694915254,81.23191399
2.734745763,0.4694915254,79.19783369
2.818644068,0.4694915254,78.34832088
2.902542373,0.4694915254,76.35281831
2.986440678,0.4694915254,75.31973573
3.070338983,0.4694915254,74.01618248
3.154237288,0.4694915254,71.43027267
3.238135593,0.4694915254,70.45014147
3.322033898,0.4694915254,67.98407945
3.405932203,0.4694915254,65.65518772
3.489830508,0.4694915254,64.90841616
3.573728814,0.4694915254,62.082693129999996
3.657627119,0.4694915254,61.067167620000006
3.741525424,0.4694915254,58.280761010000006
3.825423729,0.4694915254,57.94817098
3.909322034,0.4694915254,55.30585970999999
3.993220339,0.4694915254,54.228945319999994
4.077118644,0.4694915254,52.944939899999994
4.161016949,0.4694915254,52.227275660000004
4.244915254,0.4694915254,50.90620894999999
4.328813559,0.4694915254,50.204074489999996
4.412711864,0.4694915254,48.242638
4.496610169,0.4694915254,47.077951060000004
4.580508475,0.4694915254,45.49344352
4.66440678,0.4694915254,44.75989929
4.748305085,0.4694915254,44.3719006
4.83220339,0.4694915254,42.61428332
4.916101695,0.4694915254,41.92952538
5.0,0.4694915254,40.6167253
0.05,0.5533898305,151.32718228
0.1338983051,0.5533898305,151.32718228
0.2177966102,0.5533898305,151.32718228
0.3016949153,0.5533898305,151.32718228
0.3855932203,0.5533898305,151.32718228
0.4694915254,0.5533898305,151.32718228
0.5533898305,0.5533898305,151.32718228
0.6372881356,0.5533898305,151.20320118
0.7211864407,0.5533898305,146.47059648
0.8050847458,0.5533898305,141.72513218
0.8889830508,0.5533898305,137.52973118
0.9728813559,0.5533898305,133.79152018
1.056779661,0.5533898305,129.85045788
1.140677966,0.5533898305,126.42586467999999
1.224576271,0.5533898305,123.48426588000001
1.308474576,0.5533898305,120.54716977999999
1.392372881,0.5533898305,117.49939978
1.476271186,0.5533898305,115.09449237999999
1.560169492,0.5533898305,111.01517458000001
1.644067797,0.5533898305,107.34362318000001
1.727966102,0.5533898305,103.75736168
1.811864407,0.5533898305,101.28070878
1.895762712,0.5533898305,98.61370588
1.979661017,0.5533898305,96.62088338
2.063559322,0.5533898305,94.30249978
2.147457627,0.5533898305,91.77075668
2.231355932,0.5533898305,88.81593478
2.315254237,0.5533898305,85.70215368
2.399152542,0.5533898305,83.94227938
2.483050847,0.5533898305,81.98474398
2.566949153,0.5533898305,79.92052018
2.650847458,0.5533898305,77.87598179
2.734745763,0.5533898305,75.84190149
2.818644068,0.5533898305,74.99238868
2.902542373,0.5533898305,72.99688611
2.986440678,0.5533898305,71.96380353
3.070338983,0.5533898305,70.66025028
3.154237288,0.5533898305,68.07434047
3.238135593,0.5533898305,67.09420927000001
3.322033898,0.5533898305,64.62814725
3.405932203,0.5533898305,62.29925552
3.489830508,0.5533898305,61.55248396
3.573728814,0.5533898305,58.72676093
3.657627119,0.5533898305,57.71123542000001
3.741525424,0.5533898305,54.92482881000001
3.825423729,0.5533898305,54.59223878
3.909322034,0.5533898305,51.949927509999995
3.993220339,0.5533898305,50.873013119999996
4.077118644,0.5533898305,49.589007699999996
4.161016949,0.5533898305,48.871343460000006
4.244915254,0.5533898305,47.550276749999995
4.328813559,0.5533898305,46.84814229
4.412711864,0.5533898305,44.8867058
4.496610169,0.5533898305,43.722018860000006
4.580508475,0.5533898305,42.13751132
4.66440678,0.5533898305,41.40396709
4.748305085,0.5533898305,41.0159684
4.83220339,0.5533898305,39.25835112
4.916101695,0.5533898305,38.57359318
5.0,0.5533898305,37.2607931
0.05,0.6372881356,147.97125007999998
0.1338983051,0.6372881356,147.97125007999998
0.2177966102,0.6372881356,147.97125007999998
0.3016949153,0.6372881356,147.97125007999998
0.3855932203,0.6372881356,147.97125007999998
0.4694915254,0.6372881356,147.97125007999998
0.5533898305,0.6372881356,147.97125007999998
0.6372881356,0.6372881356,147.84726898
0.7211864407,0.6372881356,143.11466428
0.8050847458,0.6372881356,138.36919998
0.8889830508,0.6372881356,134.17379898
0.9728813559,0.6372881356,130.43558797999998
1.056779661,0.6372881356,126.49452568
1.140677966,0.6372881356,123.06993247999999
1.224576271,0.6372881356,120.12833368000001
1.308474576,0.6372881356,117.19123757999999
1.392372881,0.6372881356,114.14346758
1.476271186,0.6372881356,111.73856018
1.560169492,0.6372881356,107.65924238000001
1.644067797,0.6372881356,103.98769098000001
1.727966102,0.6372881356,100.40142948
1.811864407,0.6372881356,97.92477658
1.895762712,0.6372881356,95.25777368
1.979661017,0.6372881356,93.26495118
2.063559322,0.6372881356,90.94656758
2.147457627,0.6372881356,88.41482448000001
2.231355932,0.6372881356,85.46000258000001
2.315254237,0.6372881356,82.34622148
2.399152542,0.6372881356,80.58634718
2.483050847,0.6372881356,78.62881178
2.566949153,0.6372881356,76.56458798
2.650847458,0.6372881356,74.52004959
2.734745763,0.6372881356,72.48596929
2.818644068,0.6372881356,71.63645648
2.902542373,0.6372881356,69.64095391000001
2.986440678,0.6372881356,68.60787133000001
3.070338983,0.6372881356,67.30431808
3.154237288,0.6372881356,64.71840827
3.238135593,0.6372881356,63.73827707000001
3.322033898,0.6372881356,61.27221505
3.405932203,0.6372881356,58.943323320000005
3.489830508,0.6372881356,58.196551760000006
3.573728814,0.6372881356,55.37082873
3.657627119,0.6372881356,54.35530322000001
3.741525424,0.6372881356,51.56889661000001
3.825423729,0.6372881356,51.236306580000004
3.909322034,0.6372881356,48.59399531
3.993220339,0.6372881356,47.51708092
4.077118644,0.6372881356,46.2330755
4.161016949,0.6372881356,45.51541126000001
4.244915254,0.6372881356,44.19434455
4.328813559,0.6372881356,43.49221009
4.412711864,0.6372881356,41.5307736
4.496610169,0.6372881356,40.36608666000001
4.580508475,0.6372881356,38.78157912
4.66440678,0.6372881356,38.04803489
4.748305085,0.6372881356,37.66003619999999
4.83220339,0.6372881356,35.90241892
4.916101695,0.6372881356,35.217660980000005
5.0,0.6372881356,33.9048609
0.05,0.7211864407,144.61531786999998
0.1338983051,0.7211864407,144.61531786999998
0.2177966102,0.7211864407,144.61531786999998
0.3016949153,0.7211864407,144.61531786999998
0.3855932203,0.7211864407,144.61531786999998
0.4694915254,0.7211864407,144.61531786999998
0.5533898305,0.7211864407,144.61531786999998
0.6372881356,0.7211864407,144.49133677
0.7211864407,0.7211864407,139.75873207
0.8050847458,0.7211864407,135.01326777
0.8889830508,0.7211864407,130.81786677
0.9728813559,0.7211864407,127.07965576999999
1.056779661,0.7211864407,123.13859346999999
1.140677966,0.7211864407,119.71400026999999
1.224576271,0.7211864407,116.77240147
1.308474576,0.7211864407,113.83530536999999
1.392372881,0.7211864407,110.78753537
1.476271186,0.7211864407,108.38262796999999
1.560169492,0.7211864407,104.30331017
1.644067797,0.7211864407,100.63175877
1.727966102,0.7211864407,97.04549727
1.811864407,0.7211864407,94.56884437
1.895762712,0.7211864407,91.90184147
1.979661017,0.7211864407,89.90901896999999
2.063559322,0.7211864407,87.59063537
2.147457627,0.7211864407,85.05889227
2.231355932,0.7211864407,82.10407037
2.315254237,0.7211864407,78.99028926999999
2.399152542,0.7211864407,77.23041497
2.483050847,0.7211864407,75.27287957
2.566949153,0.7211864407,73.20865577
2.650847458,0.7211864407,71.16411738
2.734745763,0.7211864407,69.13003708
2.818644068,0.7211864407,68.28052427
2.902542373,0.7211864407,66.2850217
2.986440678,0.7211864407,65.25193912
3.070338983,0.7211864407,63.948385869999996
3.154237288,0.7211864407,61.36247605999999
3.238135593,0.7211864407,60.38234486
3.322033898,0.7211864407,57.916282839999994
3.405932203,0.7211864407,55.58739111
3.489830508,0.7211864407,54.84061955
3.573728814,0.7211864407,52.01489651999999
3.657627119,0.7211864407,50.999371010000004
3.741525424,0.7211864407,48.212964400000004
3.825423729,0.7211864407,47.88037437
3.909322034,0.7211864407,45.23806309999999
3.993220339,0.7211864407,44.16114870999999
4.077118644,0.7211864407,42.87714328999999
4.161016949,0.7211864407,42.15947905
4.244915254,0.7211864407,40.83841233999999
4.328813559,0.7211864407,40.136277879999994
4.412711864,0.7211864407,38.17484139
4.496610169,0.7211864407,37.01015445
4.580508475,0.7211864407,35.42564691
4.66440678,0.7211864407,34.692102680000005
4.748305085,0.7211864407,34.30410399
4.83220339,0.7211864407,32.546486709999996
4.916101695,0.7211864407,31.861728770000003
5.0,0.7211864407,30.54892869
0.05,0.8050847458,141.25938566999997
0.1338983051,0.8050847458,141.25938566999997
0.2177966102,0.8050847458,141.25938566999997
0.3016949153,0.8050847458,141.25938566999997
0.3855932203,0.8050847458,141.25938566999997
0.4694915254,0.8050847458,141.25938566999997
0.5533898305,0.8050847458,141.25938566999997
0.6372881356,0.8050847458,141.13540457
0.7211864407,0.8050847458,136.40279987000002
0.8050847458,0.8050847458,131.65733557
0.8889830508,0.8050847458,127.46193457
0.9728813559,0.8050847458,123.72372356999999
1.056779661,0.8050847458,119.78266126999999
1.140677966,0.8050847458,116.35806806999999
1.224576271,0.8050847458,113.41646927000001
1.308474576,0.8050847458,110.47937316999999
1.392372881,0.8050847458,107.43160317
1.476271186,0.8050847458,105.02669576999999
1.560169492,0.8050847458,100.94737797
1.644067797,0.8050847458,97.27582657
1.727966102,0.8050847458,93.68956507
1.811864407,0.8050847458,91.21291217
1.895762712,0.8050847458,88.54590927
1.979661017,0.8050847458,86.55308677
2.063559322,0.8050847458,84.23470317
2.147457627,0.8050847458,81.70296007
2.231355932,0.8050847458,78.74813817
2.315254237,0.8050847458,75.63435707
2.399152542,0.8050847458,73.87448277
2.483050847,0.8050847458,71.91694737
2.566949153,0.8050847458,69.85272357
2.650847458,0.8050847458,67.80818518
2.734745763,0.8050847458,65.77410488
2.818644068,0.8050847458,64.92459207
2.902542373,0.8050847458,62.9290895
2.986440678,0.8050847458,61.896006920000005
3.070338983,0.8050847458,60.59245367
3.154237288,0.8050847458,58.006543859999994
3.238135593,0.8050847458,57.026412660000005
3.322033898,0.8050847458,54.560350639999996
3.405932203,0.8050847458,52.23145891
3.489830508,0.8050847458,51.48468735
3.573728814,0.8050847458,48.658964319999995
3.657627119,0.8050847458,47.643438810000006
3.741525424,0.8050847458,44.857032200000006
3.825423729,0.8050847458,44.52444217
3.909322034,0.8050847458,41.88213089999999
3.993220339,0.8050847458,40.805216509999994
4.077118644,0.8050847458,39.521211089999994
4.161016949,0.8050847458,38.803546850000004
4.244915254,0.8050847458,37.48248013999999
4.328813559,0.8050847458,36.780345679999996
4.412711864,0.8050847458,34.81890919
4.496610169,0.8050847458,33.654222250000004
4.580508475,0.8050847458,32.06971471
4.66440678,0.8050847458,31.33617048
4.748305085,0.8050847458,30.948171789999996
4.83220339,0.8050847458,29.19055451
4.916101695,0.8050847458,28.50579657
5.0,0.8050847458,27.19299649
0.05,0.8889830508,137.90345347
0.1338983051,0.8889830508,137.90345347
0.2177966102,0.8889830508,137.90345347
0.3016949153,0.8889830508,137.90345347
0.3855932203,0.8889830508,137.90345347
0.4694915254,0.8889830508,137.90345347
0.5533898305,0.8889830508,137.90345347
0.6372881356,0.8889830508,137.77947237
0.7211864407,0.8889830508,133.04686767
0.8050847458,0.8889830508,128.30140337
0.8889830508,0.8889830508,124.10600237
0.9728813559,0.8889830508,120.36779136999999
1.056779661,0.8889830508,116.42672907
1.140677966,0.8889830508,113.00213586999999
1.224576271,0.8889830508,110.06053707000001
1.308474576,0.8889830508,107.12344096999999
1.392372881,0.8889830508,104.07567097
1.476271186,0.8889830508,101.67076356999999
1.560169492,0.8889830508,97.59144577
1.644067797,0.8889830508,93.91989437000001
1.727966102,0.8889830508,90.33363287
1.811864407,0.8889830508,87.85697997
1.895762712,0.8889830508,85.18997707
1.979661017,0.8889830508,83.19715457
2.063559322,0.8889830508,80.87877097
2.147457627,0.8889830508,78.34702787
2.231355932,0.8889830508,75.39220597
2.315254237,0.8889830508,72.27842487
2.399152542,0.8889830508,70.51855057
2.483050847,0.8889830508,68.56101517
2.566949153,0.8889830508,66.49679137
2.650847458,0.8889830508,64.45225298
2.734745763,0.8889830508,62.41817268
