method,n_users,count,failure_count,final_grid_ne_gap_mean,final_grid_ne_gap_std,final_grid_ne_gap_median,final_grid_ne_gap_q25,final_grid_ne_gap_q75,final_grid_ne_gap_min,final_grid_ne_gap_max,joint_revenue_mean,joint_revenue_std,joint_revenue_median,joint_revenue_q25,joint_revenue_q75,joint_revenue_min,joint_revenue_max,runtime_sec_mean,runtime_sec_std,runtime_sec_median,runtime_sec_q25,runtime_sec_q75,runtime_sec_min,runtime_sec_max,stage2_solver_calls_mean,stage2_solver_calls_std,stage2_solver_calls_median,stage2_solver_calls_q25,stage2_solver_calls_q75,stage2_solver_calls_min,stage2_solver_calls_max,audit_stage2_solver_calls_mean,audit_stage2_solver_calls_std,audit_stage2_solver_calls_median,audit_stage2_solver_calls_q25,audit_stage2_solver_calls_q75,audit_stage2_solver_calls_min,audit_stage2_solver_calls_max,total_stage2_solver_calls_mean,total_stage2_solver_calls_std,total_stage2_solver_calls_median,total_stage2_solver_calls_q25,total_stage2_solver_calls_q75,total_stage2_solver_calls_min,total_stage2_solver_calls_max
GA,10,5,0,20.117106118613854,9.019253931818925,17.625733134582493,13.862312834308966,21.218368968738595,11.075455156793565,36.80366049864565,42.12303415736241,8.320412210209637,41.59754628180531,34.48309843370418,45.30036321967839,33.10696461829705,56.12719823332715,0.7717504600062967,0.49186397231666906,0.7068306999281049,0.3076213002204895,0.9570577004924417,0.27406829968094826,1.6131742997094989,57.0,29.257477676655586,49.0,37.0,55.0,31.0,113.0,240.0,0.0,240.0,240.0,240.0,240.0,240.0,297.0,29.257477676655586,289.0,277.0,295.0,271.0,353.0
GA,15,5,0,41.49609880804594,5.83798154913812,42.148034348649105,39.054561552317374,47.20481278736827,31.670321125775708,47.40276422611928,46.398967216741774,3.161973845324914,47.23135614603884,42.934368030297456,48.91400342157604,42.52297661948222,50.39213186631429,1.431929760053754,0.27869441961301084,1.3871734999120235,1.278354600071907,1.5068292999640107,1.0755925998091698,1.9116988005116582,44.2,6.997142273814361,43.0,37.0,49.0,37.0,55.0,240.0,0.0,240.0,240.0,240.0,240.0,240.0,284.2,6.99714227381436,283.0,277.0,289.0,277.0,295.0
GA,20,5,0,58.13140776776936,11.301797948533704,56.91092436974791,53.7912336076838,68.18495011488001,39.960773521027356,71.80915722550773,53.96580015326649,5.139488060373213,54.29124490257744,49.80338012710607,57.29392580456835,47.028766541875044,61.41168339020558,2.359248600155115,0.4834248456815333,2.4523475002497435,2.131621499545872,2.6358307003974915,1.5735787004232407,3.002864600159228,43.0,5.366563145999495,43.0,37.0,49.0,37.0,49.0,240.0,0.0,240.0,240.0,240.0,240.0,240.0,283.0,5.366563145999495,283.0,277.0,289.0,277.0,289.0
GA,25,5,0,63.277436540007294,17.714752024763794,58.924369747899156,46.84369747899161,81.58465062417403,42.81680672268907,86.21765812628263,52.530399641421084,6.809381474311619,52.72783282815969,48.03959183614475,57.23940585802746,42.59193814578365,62.05322953898985,3.33652472011745,1.1315051159748568,2.873272500000894,2.584530499763787,3.7040338004007936,2.159295500256121,5.361491300165653,45.4,16.799999999999997,37.0,37.0,37.0,37.0,79.0,240.0,0.0,240.0,240.0,240.0,240.0,240.0,285.4,16.800000000000004,277.0,277.0,277.0,277.0,319.0
GA,30,5,0,74.4150497438757,11.099521695601982,69.28187327294503,66.9781512605042,73.01848739495799,66.65292699063534,96.14380980033589,57.58901554514156,3.6042228510879597,57.111093024202205,56.2036367920395,58.78090156466091,52.394875250875835,63.454571093929324,5.442780939675868,1.4139207349285818,5.029901599511504,4.9792967000976205,5.211996399797499,3.881594699807465,8.111115299165249,57.4,26.180909075125715,49.0,43.0,49.0,37.0,109.0,240.0,0.0,240.0,240.0,240.0,240.0,240.0,297.4,26.180909075125715,289.0,283.0,289.0,277.0,349.0
MARL,10,5,0,10.092468463013086,9.610754191690406,5.542078075978807,4.981775281642201,6.241680672268913,4.420736566278343,29.27607171889716,31.757945861642234,14.29171902360053,40.4454365556691,14.975116680437475,41.122517649014995,14.158223376074675,48.08843504701493,0.5239076999947428,0.2871216173954094,0.5401416001841426,0.21801820024847984,0.6708010993897915,0.21674290020018816,0.9738346999511123,46.8,11.391224692718513,49.0,37.0,55.0,31.0,62.0,240.0,0.0,240.0,240.0,240.0,240.0,240.0,286.8,11.391224692718513,289.0,277.0,295.0,271.0,302.0
MARL,15,5,0,12.649051672936434,5.870192466955136,13.804459789266197,6.124541794518594,17.39926406155177,5.690911782890158,20.22608093645546,43.32263057041899,14.014885675221302,50.10391102833252,27.30820445034286,55.74564323103986,25.59979230114166,57.855601841238055,0.8907440399751068,0.19028480338587925,0.9442330999299884,0.7990838000550866,1.0080947000533342,0.5746828000992537,1.1276257997378707,44.2,6.997142273814361,43.0,37.0,49.0,37.0,55.0,240.0,0.0,240.0,240.0,240.0,240.0,240.0,284.2,6.99714227381436,283.0,277.0,289.0,277.0,295.0
MARL,20,5,0,12.568651931614701,7.330321862367937,15.173851617594094,5.08827770254112,18.53492187254608,2.8107916178561343,21.23541684753608,40.60534387257806,23.48377259098461,34.346101941411185,22.680694321497306,43.616055252859375,18.300061495764133,84.0838063513583,1.3637977197766304,0.42656899142491367,1.4552027992904186,0.9588856995105743,1.7031450998038054,0.7932008998468518,1.9085541004315019,43.0,5.366563145999495,43.0,37.0,49.0,37.0,49.0,240.0,0.0,240.0,240.0,240.0,240.0,240.0,283.0,5.366563145999495,283.0,277.0,289.0,277.0,289.0
MARL,25,5,0,27.14110069997518,12.311654181232612,27.682859052986956,16.367499510700434,30.04197584379873,13.39633557556176,48.21683351682801,24.58061511692334,10.64660462738107,18.31899891188897,17.596095583780976,24.128838288205035,17.5598364857673,45.29930631497443,1.7668162202462554,0.610665511473059,1.3959205001592636,1.3074111994355917,1.9585720002651215,1.2875572005286813,2.884620200842619,41.8,9.6,37.0,37.0,37.0,37.0,61.0,240.0,0.0,240.0,240.0,240.0,240.0,240.0,281.8,9.600000000000001,277.0,277.0,277.0,277.0,301.0
MARL,30,5,0,13.50977484285097,8.633334276771683,12.955661782758884,6.231662298507532,18.665724150702495,2.8223298554287837,26.873496126857155,37.84707526287898,9.9398906299952,40.999733310365045,27.922422557163287,46.2078714461883,24.51465060049759,49.59069840018069,3.043527259863913,0.30743262764339213,3.1525395000353456,2.8604147993028164,3.2127207005396485,2.552126799710095,3.43983449973166,47.6,7.631513611335565,49.0,43.0,49.0,37.0,60.0,240.0,0.0,240.0,240.0,240.0,240.0,240.0,287.6,7.631513611335565,289.0,283.0,289.0,277.0,300.0
