trial,seed,method,pE,pN,n_users,F,B,social_cost,offloading_size,epsilon_proxy,runtime_sec,esp_revenue,nsp_revenue
1,2027,VI,0.1,0.5,100,100.0,40.0,1982.4851905217686,17.0,1707.9639802716665,0.23104309989139438,8.238444760143048,19.56919715915283
1,2027,PEN,0.1,0.5,100,100.0,40.0,2000.3098010227573,17.0,1670.8851698547073,10.44593059970066,8.521409759254547,18.83143083342405
1,2027,DG,0.5,0.5,100,100.0,40.0,1866.40425821793,19.0,814.7029361576322,0.4290155996568501,49.0,19.6
1,2027,UBRD,0.5,0.5,100,100.0,40.0,1962.394517650754,28.0,870.346730608147,0.29198809992522,49.0,19.6
1,2027,VI,0.5,0.5,100,100.0,40.0,1905.0689995957614,16.0,797.0657790374615,0.24535030033439398,34.96840693609286,16.64933314260072
1,2027,PEN,0.5,0.5,100,100.0,40.0,1875.800770873768,18.0,813.880885426456,9.955246099736542,47.12425801635451,18.990217605619225
1,2027,DG,1.0,0.5,100,100.0,40.0,2068.061872177869,16.0,956.9606661677786,0.2648987998254597,80.24252809110588,19.6
1,2027,UBRD,1.0,0.5,100,100.0,40.0,2135.9863006670626,24.0,993.5473087908643,0.2717430000193417,99.0,19.6
1,2027,VI,1.0,0.5,100,100.0,40.0,2068.062383486552,16.0,956.9606661677786,0.20031550014391541,80.24252809110588,19.59992619164011
1,2027,PEN,1.0,0.5,100,100.0,40.0,2078.208033384634,15.0,961.0260126400187,8.000081199686974,76.37452782033299,18.934598174671113
2,2028,DG,0.1,0.5,100,100.0,40.0,1840.8813064147514,19.0,1877.4623498584488,0.3246717001311481,9.000000000000002,19.599999999999998
2,2028,UBRD,0.1,0.5,100,100.0,40.0,1945.0106397553718,28.0,2004.8520267634701,0.37202960019931197,9.000000000000002,19.6
2,2028,VI,0.1,0.5,100,100.0,40.0,1866.6903194522465,17.0,1823.6771964952798,0.3290413999930024,7.285281926825061,18.59856698423046
2,2028,PEN,0.1,0.5,100,100.0,40.0,1859.6170899454924,18.0,1834.9925124553024,10.50341370003298,8.602942692865499,19.041499171325043
2,2028,DG,0.5,0.5,100,100.0,40.0,2107.5185650637186,16.0,876.8975708059617,0.3152665998786688,48.99999999999999,19.6
2,2028,UBRD,0.5,0.5,100,100.0,40.0,2207.231115482359,26.0,977.7992054738902,0.3760942001827061,49.00000000000001,19.6
2,2028,VI,0.5,0.5,100,100.0,40.0,2137.7219034884224,15.0,894.901398999471,0.2335073002614081,40.01136006680021,16.687778793218673
2,2028,PEN,0.5,0.5,100,100.0,40.0,2129.5564917299735,16.0,876.9686804746551,11.575079599861056,46.36182509328784,18.543436621948064
2,2028,DG,1.0,0.5,100,100.0,40.0,2104.8785327888086,17.0,1329.1442074686322,0.41427329974249005,89.09059421347973,19.599999999999998
2,2028,UBRD,1.0,0.5,100,100.0,40.0,2202.5855116684497,26.0,1396.1618546649654,0.3311546999029815,99.00000000000001,19.6
2,2028,VI,1.0,0.5,100,100.0,40.0,2105.9774000837792,17.0,1374.4188102348285,0.1948691001161933,82.25901351966745,18.577621722326057
2,2028,PEN,1.0,0.5,100,100.0,40.0,2111.7714227882634,17.0,1360.4505689832151,8.192796700168401,88.22517956399315,18.436128031158137
3,2029,DG,0.1,0.5,100,100.0,40.0,1899.5942185943777,19.0,739.665250775653,0.320645899977535,8.999999999999998,19.6
3,2029,UBRD,0.1,0.5,100,100.0,40.0,2024.0721484140795,30.0,827.3401323990506,0.3050134996883571,9.000000000000004,19.599999999999998
3,2029,VI,0.1,0.5,100,100.0,40.0,1954.7166007866813,15.0,734.0895532473744,0.19443120015785098,7.489960779366954,14.876844239554542
3,2029,PEN,0.1,0.5,100,100.0,40.0,1926.1340972990365,18.0,709.8304335689586,8.604725299868733,8.631816819063404,18.852780987510688
3,2029,DG,0.5,0.5,100,100.0,40.0,2002.0994843920666,17.0,460.35751689414167,0.247762699611485,49.0,19.599999999999998
3,2029,UBRD,0.5,0.5,100,100.0,40.0,2103.9468716232686,26.0,465.7243930693949,0.2533402000553906,49.0,19.6
3,2029,VI,0.5,0.5,100,100.0,40.0,2037.6067820442177,14.0,451.16084575567095,0.16933450009673834,31.12280443537439,17.314666255494625
3,2029,PEN,0.5,0.5,100,100.0,40.0,2018.8281669111884,16.0,466.9985677341875,9.729277700185776,46.79582276576337,18.63625941241191
3,2029,DG,1.0,0.5,100,100.0,40.0,1942.371056042618,19.0,615.7032788954959,0.47321119997650385,93.2743867519817,19.600000000000005
3,2029,UBRD,1.0,0.5,100,100.0,40.0,2013.5134366584402,26.0,645.264098926065,0.34437800012528896,98.99999999999999,19.6
3,2029,VI,1.0,0.5,100,100.0,40.0,1952.8237604808924,18.0,618.9227979380114,0.1974679003469646,88.42813003623495,18.400417821131366
3,2029,PEN,1.0,0.5,100,100.0,40.0,1961.3960477326623,19.0,607.1023787298212,8.801818599924445,92.39492880748067,19.118767873987217
4,2030,DG,0.1,0.5,100,100.0,40.0,1911.3885380965862,16.0,873.2397459153194,0.3687812997959554,9.000000000000002,19.6
4,2030,UBRD,0.1,0.5,100,100.0,40.0,2043.112547273871,27.0,951.0555133267776,0.41083940025418997,9.000000000000002,19.6
4,2030,VI,0.1,0.5,100,100.0,40.0,1936.4467155354573,15.0,878.032096651635,0.293418699875474,8.140458183278836,17.40885249870473
4,2030,PEN,0.1,0.5,100,100.0,40.0,1928.5851071949787,17.0,880.539684546387,12.040924900211394,8.598478869724568,19.101533586649722
4,2030,DG,0.5,0.5,100,100.0,40.0,2041.3373359828656,17.0,699.2345032276472,0.4219415998086333,49.00000000000001,19.599999999999998
4,2030,UBRD,0.5,0.5,100,100.0,40.0,2132.670114726919,26.0,748.63225530544,0.3889725999906659,48.99999999999999,19.6
4,2030,VI,0.5,0.5,100,100.0,40.0,2115.88828598935,12.0,709.6192584211551,0.22309580026194453,32.600942293072286,12.52075158244748
4,2030,PEN,0.5,0.5,100,100.0,40.0,2055.1420774910675,16.0,689.8698099238427,11.8161597000435,46.21384789303537,18.531773950521288
4,2030,DG,1.0,0.5,100,100.0,40.0,1965.101334132103,20.0,907.7934580758384,0.3359550000168383,93.6870210652449,19.6
4,2030,UBRD,1.0,0.5,100,100.0,40.0,2021.5543379087114,26.0,926.3598111704496,0.2799112997017801,99.0,19.6
4,2030,VI,1.0,0.5,100,100.0,40.0,1976.9931705987324,19.0,917.0810017246818,0.22448910027742386,89.20743018279882,18.128677750900227
4,2030,PEN,1.0,0.5,100,100.0,40.0,1976.1131647977652,20.0,892.7303830371451,7.488591600209475,94.65207949781382,19.06397674658639
