provider,point_group,boundary_price,pE,pN,candidate_set_size,candidate_set
E,unique,2.75673948939,2.75673948939,0.5,30,1;5;6;10;11;12;13;15;16;25;31;36;38;45;46;48;55;65;70;74;75;77;82;87;89;90;93;95;96;97
E,unique,2.51337251741,2.51337251741,0.5,31,1;5;6;10;11;12;13;15;16;25;31;36;38;45;46;48;55;65;70;74;75;77;82;87;89;90;93;95;96;97;99
E,unique,4.04828405555,4.04828405555,0.5,32,1;2;5;6;10;11;12;13;15;16;25;31;36;38;45;46;48;55;65;70;74;75;77;82;87;89;90;93;95;96;97;99
E,unique,3.65302123497,3.65302123497,0.5,33,1;2;5;6;10;11;12;13;15;16;25;31;36;38;45;46;48;55;56;65;70;74;75;77;82;87;89;90;93;95;96;97;99
E,unique,3.04209141443,3.04209141443,0.5,34,1;2;5;6;10;11;12;13;14;15;16;25;31;36;38;45;46;48;55;56;65;70;74;75;77;82;87;89;90;93;95;96;97;99
E,unique,3.78513175983,3.78513175983,0.5,13,6;11;13;15;31;38;45;48;65;70;77;90;97
E,unique,2.14068148312,2.14068148312,0.5,14,6;11;12;13;15;31;38;45;48;65;70;77;90;97
E,unique,1.51287100258,1.51287100258,0.5,15,6;11;12;13;15;25;31;38;45;48;65;70;77;90;97
E,unique,1.253069729,1.253069729,0.5,16,6;11;12;13;15;25;31;38;45;46;48;65;70;77;90;97
E,unique,0.98092465249,0.98092465249,0.5,17,5;6;11;12;13;15;25;31;38;45;46;48;65;70;77;90;97
E,unique,1.83865647282,1.83865647282,0.5,18,5;6;10;11;12;13;15;25;31;38;45;46;48;65;70;77;90;97
E,unique,1.45642386268,1.45642386268,0.5,19,5;6;10;11;12;13;15;25;31;38;45;46;48;65;70;77;90;93;97
E,unique,1.19449206851,1.19449206851,0.5,20,5;6;10;11;12;13;15;25;31;38;45;46;48;65;70;75;77;90;93;97
E,unique,1.14340987694,1.14340987694,0.5,21,1;5;6;10;11;12;13;15;25;31;38;45;46;48;65;70;75;77;90;93;97
E,unique,1.341900152,1.341900152,0.5,22,1;5;6;10;11;12;13;15;25;31;38;45;46;48;55;65;70;75;77;90;93;97
E,unique,1.467655078,1.467655078,0.5,23,1;5;6;10;11;12;13;15;25;31;38;45;46;48;55;65;70;75;77;90;93;96;97
E,unique,1.50152890361,1.50152890361,0.5,24,1;5;6;10;11;12;13;15;25;31;38;45;46;48;55;65;70;75;77;82;90;93;96;97
E,unique,2.4420368004,2.4420368004,0.5,25,1;5;6;10;11;12;13;15;25;31;38;45;46;48;55;65;70;75;77;82;90;93;95;96;97
E,unique,2.02508233602,2.02508233602,0.5,26,1;5;6;10;11;12;13;15;25;31;36;38;45;46;48;55;65;70;75;77;82;90;93;95;96;97
E,unique,2.10001528099,2.10001528099,0.5,27,1;5;6;10;11;12;13;15;25;31;36;38;45;46;48;55;65;70;74;75;77;82;90;93;95;96;97
E,unique,3.14925679427,3.14925679427,0.5,28,1;5;6;10;11;12;13;15;25;31;36;38;45;46;48;55;65;70;74;75;77;82;89;90;93;95;96;97
E,unique,2.91488871522,2.91488871522,0.5,29,1;5;6;10;11;12;13;15;25;31;36;38;45;46;48;55;65;70;74;75;77;82;87;89;90;93;95;96;97
E,unique,2.66447930594,2.66447930594,0.5,30,1;5;6;10;11;12;13;15;25;31;36;38;45;46;48;55;65;70;74;75;77;82;87;89;90;93;95;96;97;99
E,unique,2.40072799993,2.40072799993,0.5,31,1;2;5;6;10;11;12;13;15;25;31;36;38;45;46;48;55;65;70;74;75;77;82;87;89;90;93;95;96;97;99
E,unique,3.84612931492,3.84612931492,0.5,32,1;2;5;6;10;11;12;13;15;25;31;36;38;45;46;48;55;56;65;70;74;75;77;82;87;89;90;93;95;96;97;99
E,unique,3.21853100521,3.21853100521,0.5,33,1;2;5;6;10;11;12;13;14;15;25;31;36;38;45;46;48;55;56;65;70;74;75;77;82;87;89;90;93;95;96;97;99
E,unique,2.90490875059,2.90490875059,0.5,34,1;2;5;6;10;11;12;13;14;15;25;28;31;36;38;45;46;48;55;56;65;70;74;75;77;82;87;89;90;93;95;96;97;99
E,unique,4.4286757931,4.4286757931,0.5,12,6;11;15;31;38;45;48;65;70;77;90;97
E,unique,2.61512038614,2.61512038614,0.5,13,6;11;12;15;31;38;45;48;65;70;77;90;97
E,unique,1.82223639659,1.82223639659,0.5,14,6;11;12;15;25;31;38;45;48;65;70;77;90;97
E,unique,1.51242996769,1.51242996769,0.5,15,6;11;12;15;25;31;38;45;46;48;65;70;77;90;97
E,unique,1.16993638681,1.16993638681,0.5,16,5;6;11;12;15;25;31;38;45;46;48;65;70;77;90;97
