F,B,trials,price_margin_E_mean,price_margin_E_std,price_margin_N_mean,price_margin_N_std,comp_utilization_mean,comp_utilization_std,band_utilization_mean,band_utilization_std,offloading_ratio_mean,offloading_ratio_std,offloading_size_mean,offloading_size_std,social_cost_mean,social_cost_std,joint_revenue_mean,joint_revenue_std,restricted_gap_mean,restricted_gap_std,runtime_sec_mean,runtime_sec_std
40.0,100.0,10,3.873704306157454,0.7189936491855705,0.8968444623551987,0.5190413183620661,0.7881112601653857,0.14483591506793891,0.8227936754626487,0.2250580205154902,0.24799999999999994,0.036000000000000004,12.4,1.8,1094.4037529271536,80.0612202087039,182.17509118549873,18.9525000295169,1.7680168790696897,3.601313781746043,2.796557809971273,1.608933508532582
60.0,100.0,10,3.325796599661694,0.5749720211330613,0.8241121195419364,0.13557622022690183,0.6313741893871212,0.09160618854014103,0.8894826062950454,0.11250153095465372,0.278,0.028913664589601918,13.9,1.445683229480096,1076.0440973874497,62.67240348020703,196.13634524256062,20.90902934502161,0.0,0.0,3.3225101800635457,0.9995827259041995
80.0,100.0,10,3.0213053357827837,1.099755689313046,1.0025832167282733,0.32202592390822327,0.5257281970658261,0.11248085679136553,0.8468369780596013,0.19560028219265235,0.286,0.041036569057366384,14.3,2.0518284528683193,1074.6225572535368,79.36612257390225,196.82291453245574,20.297944662038255,0.0,0.0,3.5658356501720845,1.1433812226029132
100.0,100.0,10,3.187923669167148,1.1639989601004856,0.9651308252428719,0.2684780811891739,0.4106317088920027,0.11262568623629074,0.8450878655289328,0.19567541318974693,0.282,0.046861498055439925,14.1,2.3430749027719964,1077.664264414058,82.07696614744444,195.40145243897885,19.827422980848958,0.0,0.0,2.5826382799074055,0.6327201371031981
120.0,100.0,10,2.5912484258238204,0.692420725368104,1.0272713577042691,0.24559973015773665,0.39276460726254425,0.06958790710488462,0.8711625527673552,0.1338577868221562,0.30199999999999994,0.034,15.1,1.7,1062.1550570395425,70.83690670099118,203.58813941440707,20.2358328026392,0.0,0.0,3.2227209297940136,0.5881522891667896
20.0,120.0,10,5.56778533676996,1.1718816944140913,1.236558613582883,1.2626786124209035,0.8940719125055974,0.10919979921828483,0.5323979387194157,0.25366314516904614,0.16999999999999998,0.03130495168499705,8.5,1.5652475842498528,1130.2435193372562,84.50804213644071,143.7454152584615,28.632765669853942,1.092533821501739,3.277601464505217,0.99497593017295,0.33432255283924694
40.0,120.0,10,4.200561609881861,1.0891627053770794,0.7787799995852389,0.4354339703717513,0.8040901067995276,0.17193398381835084,0.7928211830193189,0.23161577890567908,0.262,0.04512205669071392,13.1,2.2561028345356955,1094.0841907509944,83.11526336949497,191.94916622231452,22.297314068454323,0.0,0.0,2.709948310162872,0.8912418324837976
60.0,120.0,10,3.3966365608438265,1.243186880967939,0.8692923970755674,0.4323102663583537,0.6960919015005269,0.18455914425819067,0.852531145804703,0.23599491496093927,0.29999999999999993,0.06066300355241241,15.0,3.03315017762062,1073.175414215435,89.03951434824411,207.0411792503101,26.897256917466397,0.0,0.0,4.710350489709526,3.455016421486102
80.0,120.0,10,2.9514549409852133,0.8089611025475613,0.9613665923985426,0.5368164209646704,0.5745577529598049,0.13519125194151327,0.8496752003258632,0.23878310250569548,0.31199999999999994,0.05381449618829484,15.6,2.6907248094147422,1064.7606341818152,83.7687484226505,210.6411587490542,20.711542508246033,0.8585755335882311,2.575726600764693,5.093628349993378,1.8801347681384997
100.0,120.0,10,2.6603100352637465,0.5972489774131492,0.8192080004541387,0.17338646662038587,0.5018128451267658,0.07927286886702156,0.9134582573258913,0.12413339596141118,0.32999999999999996,0.03,16.5,1.5,1047.3798460039618,65.8441887761363,216.6059229940432,15.488778657751736,0.9818197308882816,2.9454591926648446,5.403369179926813,1.8539855046137281
120.0,120.0,10,2.483358608674621,0.5011656736080577,0.8770833720939587,0.217146512262787,0.4364022105865331,0.06304694312383292,0.8990918773200791,0.13138347512382537,0.33399999999999996,0.031048349392520044,16.7,1.5524174696260022,1044.5881272445124,63.465478823844236,218.0802252769516,16.448072345052463,0.7089515893170258,2.1268547679510776,5.375216340087354,1.4289939973399803
