pE,pN,value_mean,value_std
2.986440678,0.5533898305,315.5385179,34.60265553
3.070338983,0.5533898305,312.8392679,33.913811
3.154237288,0.5533898305,310.8448117,33.25274771
3.238135593,0.5533898305,308.0552646,32.09864001
3.322033898,0.5533898305,306.257759,30.48145447
3.405932203,0.5533898305,304.64628,29.29616533
3.489830508,0.5533898305,303.0576991,28.48705734
3.573728814,0.5533898305,302.1213287,26.94397101
3.657627119,0.5533898305,297.9633575,25.54256939
3.741525424,0.5533898305,293.725076,27.78573748
3.825423729,0.5533898305,292.8015218,26.56428526
3.909322034,0.5533898305,288.9166009,26.28068303
3.993220339,0.5533898305,287.9427087,24.10985204
4.077118644,0.5533898305,284.8287637,27.919051
4.161016949,0.5533898305,280.6424678,29.40541977
4.244915254,0.5533898305,275.1952036,32.34119793
4.328813559,0.5533898305,272.0607945,35.38366409
4.412711864,0.5533898305,269.3835443,37.79740475
4.496610169,0.5533898305,269.8088901,40.26772063
4.580508475,0.5533898305,264.5452168,42.72465382
4.66440678,0.5533898305,263.9365715,44.82274421
4.748305085,0.5533898305,262.1012337,45.70536938
4.83220339,0.5533898305,262.551191,43.4924635
4.916101695,0.5533898305,254.2167909,46.75754759
5,0.5533898305,252.0857534,47.77661012
0.05,0.6372881356,83.59879813,3.21585199
0.1338983051,0.6372881356,134.447955,5.094058932
0.2177966102,0.6372881356,167.2857491,6.203084426
0.3016949153,0.6372881356,192.8545617,8.068957689
0.3855932203,0.6372881356,212.9060824,8.292756042
0.4694915254,0.6372881356,231.1584359,9.304160727
0.5533898305,0.6372881356,246.2949671,11.72331824
0.6372881356,0.6372881356,258.6550867,13.32944765
0.7211864407,0.6372881356,267.4832769,14.07174418
0.8050847458,0.6372881356,278.9222195,16.51332533
0.8889830508,0.6372881356,287.8612088,18.46496475
0.9728813559,0.6372881356,291.7731377,16.94321848
1.056779661,0.6372881356,297.2632861,18.82783564
1.140677966,0.6372881356,302.3794966,21.35132713
1.224576271,0.6372881356,304.7123382,19.89653991
1.308474576,0.6372881356,306.3400571,22.76423745
1.392372881,0.6372881356,309.1021861,19.09606048
1.476271186,0.6372881356,309.0620354,23.49358419
1.560169492,0.6372881356,312.0636598,23.61153268
1.644067797,0.6372881356,311.233549,24.63899032
1.727966102,0.6372881356,314.3698047,23.29788954
1.811864407,0.6372881356,314.5525274,27.00197246
1.895762712,0.6372881356,314.2402552,26.05789107
1.979661017,0.6372881356,316.2958933,25.67184786
2.063559322,0.6372881356,315.078056,27.97444176
2.147457627,0.6372881356,314.4424856,27.2478252
2.231355932,0.6372881356,315.8253864,29.25473096
2.315254237,0.6372881356,311.6695976,34.80815009
2.399152542,0.6372881356,310.3668302,34.02365314
2.483050847,0.6372881356,305.8139896,34.89591853
2.566949153,0.6372881356,304.772908,33.73140036
2.650847458,0.6372881356,303.2114768,32.93127154
2.734745763,0.6372881356,301.4979591,33.47692515
2.818644068,0.6372881356,298.3645432,34.4970876
2.902542373,0.6372881356,298.5880835,34.72528333
2.986440678,0.6372881356,298.8323858,34.55040892
3.070338983,0.6372881356,297.7368004,30.37279087
3.154237288,0.6372881356,296.9013809,31.53052079
3.238135593,0.6372881356,292.5253232,24.95167418
3.322033898,0.6372881356,288.1569442,22.20851596
3.405932203,0.6372881356,286.7312943,22.02452718
3.489830508,0.6372881356,280.8599581,21.95998401
3.573728814,0.6372881356,279.2899386,25.41342544
