pE,pN,value_mean,value_std
4.328813559,0.1338983051,0.431,0.05185556865
4.412711864,0.1338983051,0.424,0.0512249939
4.496610169,0.1338983051,0.414,0.05141984053
4.580508475,0.1338983051,0.404,0.048
4.66440678,0.1338983051,0.398,0.05015974482
4.748305085,0.1338983051,0.388,0.04975942122
4.83220339,0.1338983051,0.381,0.04657252409
4.916101695,0.1338983051,0.375,0.045
5,0.1338983051,0.366,0.04565084884
0.05,0.2177966102,0.95,0.01732050808
0.1338983051,0.2177966102,0.936,0.02154065923
0.2177966102,0.2177966102,0.919,0.01920937271
0.3016949153,0.2177966102,0.908,0.02227105745
0.3855932203,0.2177966102,0.898,0.02749545417
0.4694915254,0.2177966102,0.881,0.02947880595
0.5533898305,0.2177966102,0.865,0.02837252192
0.6372881356,0.2177966102,0.858,0.02993325909
0.7211864407,0.2177966102,0.845,0.02872281323
0.8050847458,0.2177966102,0.836,0.03072458299
0.8889830508,0.2177966102,0.826,0.03231098884
0.9728813559,0.2177966102,0.816,0.02615339366
1.056779661,0.2177966102,0.803,0.02002498439
1.140677966,0.2177966102,0.789,0.0262488095
1.224576271,0.2177966102,0.776,0.02905167809
1.308474576,0.2177966102,0.765,0.03008321791
1.392372881,0.2177966102,0.754,0.02497999199
1.476271186,0.2177966102,0.745,0.02872281323
1.560169492,0.2177966102,0.736,0.03292415527
1.644067797,0.2177966102,0.724,0.03072458299
1.727966102,0.2177966102,0.712,0.03544009029
1.811864407,0.2177966102,0.7,0.03605551275
1.895762712,0.2177966102,0.69,0.03794733192
1.979661017,0.2177966102,0.68,0.03872983346
2.063559322,0.2177966102,0.669,0.04158124577
2.147457627,0.2177966102,0.654,0.04820788317
2.231355932,0.2177966102,0.644,0.05388877434
2.315254237,0.2177966102,0.634,0.05023942675
2.399152542,0.2177966102,0.621,0.047
2.483050847,0.2177966102,0.604,0.04758150901
2.566949153,0.2177966102,0.589,0.04928488612
2.650847458,0.2177966102,0.583,0.04838388161
2.734745763,0.2177966102,0.568,0.0453431362
2.818644068,0.2177966102,0.553,0.0492036584
2.902542373,0.2177966102,0.544,0.04943682838
2.986440678,0.2177966102,0.531,0.04908156477
3.070338983,0.2177966102,0.523,0.04817675788
3.154237288,0.2177966102,0.515,0.05181698563
3.238135593,0.2177966102,0.503,0.05020956084
3.322033898,0.2177966102,0.494,0.04820788317
3.405932203,0.2177966102,0.479,0.04635730795
3.489830508,0.2177966102,0.468,0.0453431362
3.573728814,0.2177966102,0.457,0.04605431576
3.657627119,0.2177966102,0.441,0.05088221693
3.741525424,0.2177966102,0.43,0.05477225575
3.825423729,0.2177966102,0.422,0.0485386444
3.909322034,0.2177966102,0.415,0.04904079934
3.993220339,0.2177966102,0.408,0.05015974482
4.077118644,0.2177966102,0.399,0.04635730795
4.161016949,0.2177966102,0.39,0.04669047012
4.244915254,0.2177966102,0.385,0.045
4.328813559,0.2177966102,0.373,0.04313930922
4.412711864,0.2177966102,0.369,0.04060788101
4.496610169,0.2177966102,0.362,0.04019950248
4.580508475,0.2177966102,0.354,0.03773592453
4.66440678,0.2177966102,0.348,0.04044749683
4.748305085,0.2177966102,0.343,0.04124318125
4.83220339,0.2177966102,0.34,0.03872983346
4.916101695,0.2177966102,0.338,0.03789459064
5,0.2177966102,0.332,0.03867815921
0.05,0.3016949153,0.925,0.0162788206
0.1338983051,0.3016949153,0.907,0.0253179778
0.2177966102,0.3016949153,0.893,0.02685144316
0.3016949153,0.3016949153,0.869,0.027
0.3855932203,0.3016949153,0.854,0.02939387691
0.4694915254,0.3016949153,0.845,0.02872281323
0.5533898305,0.3016949153,0.835,0.02837252192
0.6372881356,0.3016949153,0.826,0.03136877428
0.7211864407,0.3016949153,0.811,0.02662705391
0.8050847458,0.3016949153,0.797,0.029
0.8889830508,0.3016949153,0.778,0.02856571371
0.9728813559,0.3016949153,0.766,0.02690724809
1.056779661,0.3016949153,0.757,0.0283019434
1.140677966,0.3016949153,0.748,0.02712931993
1.224576271,0.3016949153,0.739,0.02773084925
1.308474576,0.3016949153,0.72,0.03376388603
1.392372881,0.3016949153,0.709,0.0344818793
1.476271186,0.3016949153,0.696,0.03852272057
1.560169492,0.3016949153,0.685,0.03748332963
1.644067797,0.3016949153,0.673,0.04360045871
1.727966102,0.3016949153,0.663,0.04313930922
1.811864407,0.3016949153,0.653,0.04670117772
1.895762712,0.3016949153,0.641,0.05185556865
1.979661017,0.3016949153,0.623,0.04670117772
2.063559322,0.3016949153,0.613,0.04691481642
2.147457627,0.3016949153,0.595,0.04801041554
2.231355932,0.3016949153,0.582,0.04707440918
2.315254237,0.3016949153,0.566,0.0465188134
2.399152542,0.3016949153,0.56,0.045607017
2.483050847,0.3016949153,0.542,0.04445222154
2.566949153,0.3016949153,0.537,0.04691481642
2.650847458,0.3016949153,0.524,0.04673328578
2.734745763,0.3016949153,0.512,0.04664761516
2.818644068,0.3016949153,0.499,0.05068530359
2.902542373,0.3016949153,0.493,0.04940647731
2.986440678,0.3016949153,0.478,0.05095095681
3.070338983,0.3016949153,0.463,0.0487954916
3.154237288,0.3016949153,0.452,0.04422668877
3.238135593,0.3016949153,0.444,0.04476605857
3.322033898,0.3016949153,0.435,0.0465295605
3.405932203,0.3016949153,0.423,0.04796873982
3.489830508,0.3016949153,0.413,0.04539823785
3.573728814,0.3016949153,0.407,0.051
