provider,pE,pN
E,1.700312508763,0.5
E,1.703720779602,0.5
E,1.708281573415,0.5
E,1.714184848139,0.5
E,1.715363755299,0.5
E,1.729828151631,0.5
E,1.73249488404,0.5
E,1.753385799233,0.5
E,1.761210631882,0.5
E,1.764357189798,0.5
E,1.766542716196,0.5
E,1.77157364415,0.5
E,1.779392260552,0.5
E,1.781848070983,0.5
E,1.799371583956,0.5
E,1.821371316888,0.5
E,1.822236396587,0.5
E,1.826360923405,0.5
E,1.829451911291,0.5
E,1.838656472822,0.5
E,1.845187128081,0.5
E,1.853467065959,0.5
E,1.855065403527,0.5
E,1.858855817491,0.5
E,1.862807187228,0.5
E,1.878179859515,0.5
E,1.886597407702,0.5
E,1.91009043969,0.5
E,1.911533990624,0.5
E,1.919488130042,0.5
E,1.919534673282,0.5
E,1.919839928991,0.5
E,1.920145928672,0.5
E,1.921853501471,0.5
E,1.923365822953,0.5
E,1.931082888649,0.5
E,1.931892651814,0.5
E,1.93238466488,0.5
E,1.945918914847,0.5
E,1.947894217342,0.5
E,1.969406538002,0.5
E,1.969649640098,0.5
E,1.989807739714,0.5
E,1.994964605108,0.5
E,2.002053839434,0.5
E,2.010584577098,0.5
E,2.021585790291,0.5
E,2.024795473859,0.5
E,2.025082336022,0.5
E,2.033494498832,0.5
E,2.038044500356,0.5
E,2.0456030734,0.5
E,2.046944201379,0.5
E,2.051715264142,0.5
E,2.053560003739,0.5
E,2.059910901267,0.5
E,2.063586895712,0.5
E,2.082781592149,0.5
E,2.100015280987,0.5
E,2.109199813105,0.5
E,2.119559715531,0.5
E,2.122542157958,0.5
E,2.125645700717,0.5
E,2.134842756065,0.5
E,2.136783777415,0.5
E,2.140681483122,0.5
E,2.140980515502,0.5
E,2.144235039459,0.5
E,2.174574975426,0.5
E,2.214280837132,0.5
E,2.221088912698,0.5
E,2.244077516936,0.5
E,2.24624938314,0.5
E,2.25528773886,0.5
E,2.25930603515,0.5
E,2.261429067148,0.5
E,2.263406800944,0.5
E,2.264436298203,0.5
E,2.267606763862,0.5
E,2.288942847474,0.5
E,2.29036910766,0.5
E,2.303136266357,0.5
E,2.311317197889,0.5
E,2.314105137542,0.5
E,2.325622218226,0.5
E,2.325879158228,0.5
E,2.328343975622,0.5
E,2.329537307371,0.5
E,2.35398940866,0.5
E,2.357022421493,0.5
E,2.357164469487,0.5
E,2.359368973953,0.5
E,2.366674361447,0.5
E,2.3723303825,0.5
E,2.382044738809,0.5
E,2.391613872916,0.5
E,2.400727999929,0.5
E,2.403505140261,0.5
E,2.422493618607,0.5
E,2.433324469507,0.5
E,2.434123081796,0.5
E,2.434867961872,0.5
E,2.438653730275,0.5
E,2.442036800398,0.5
E,2.449850308881,0.5
E,2.458895256385,0.5
E,2.462279835929,0.5
E,2.492295867905,0.5
E,2.493837190797,0.5
E,2.495866548259,0.5
E,2.513372517409,0.5
E,2.530800716145,0.5
E,2.537736836029,0.5
E,2.538135954929,0.5
E,2.539589099888,0.5
E,2.540976197466,0.5
E,2.542313914111,0.5
E,2.567508737928,0.5
E,2.569723461618,0.5
