figure_id,block,method,n_users,trial,ratio,cE,cN,social_cost,esp_revenue,nsp_revenue,joint_revenue,comp_utilization,band_utilization,final_pE,final_pN,offloading_size,restricted_gap,runtime_sec,stage2_calls
E2-cost-ratio,E,Coop,100,5,0.001,0.01,10.0,2213.329786005089,7.541757456730124,13.466318453315393,21.00807591004552,0.3021739214716577,0.061312726301329744,0.25958333333333333,15.490833333333335,3,6.595081213803768,83.8266611250001,625
E2-cost-ratio,E,Rand,100,5,0.001,0.01,10.0,2230.7043334289547,1.91740497016753,0.6796917420970844,2.5970967122646145,0.22238648849682796,0.07458130217855438,0.479263076904066,10.469263076904067,2,17.71924296563076,0.16195641699596308,0
E2-cost-ratio,E,Full model,100,6,0.001,0.01,10.0,2196.908227386861,20.92399635792077,19.822392290380318,40.74638864830109,0.19356043763632108,0.09219084558368436,1.0910058405238097,15.375368933021377,4,0.0,0.5496986249927431,67
E2-cost-ratio,E,ME,100,6,0.001,0.01,10.0,2120.05132705452,34.118600371696665,0.0,34.118600371696665,0.9987552702015816,0.4050181953687641,0.3516112173787119,10.0,12,42.08186045225499,37.016732874995796,0
E2-cost-ratio,E,SingleSP,100,6,0.001,0.01,10.0,2122.8434608997077,26.67009877074844,0.0,26.67009877074844,0.11382472264580049,0.06805063603569309,0.01,10.0,5,56.513089438231894,0.012293249979848042,0
E2-cost-ratio,E,Coop,100,6,0.001,0.01,10.0,2171.610054548144,16.857031959741313,39.967522924444346,56.82455488418566,0.6754069566507371,0.1668093611203854,0.25958333333333333,15.99,7,7.900138616321588,139.782626041997,625
E2-cost-ratio,E,Rand,100,6,0.001,0.01,10.0,2203.131491669519,2.67839891180328,0.9733888725677591,3.651787784371039,0.6482844630615026,0.30989080932733126,0.5703176417657623,10.560317641765762,2,35.09155491790768,0.17257879200042225,0
E2-cost-ratio,E,Full model,100,7,0.001,0.01,10.0,2251.3029359813804,9.243143441536972,9.063694007660377,18.30683744919735,0.2718675276861312,0.06327690016231635,0.34998703413406934,13.580964769295909,3,0.0,0.20769049998489209,64
E2-cost-ratio,E,ME,100,7,0.001,0.01,10.0,2225.059662570939,23.52127829997041,0.0,23.52127829997041,0.9983239481702998,0.33577941528550137,0.2456076736722539,10.0,10,15.383727262317,23.48306012499961,0
E2-cost-ratio,E,SingleSP,100,7,0.001,0.01,10.0,2236.257149279846,13.020794958272909,0.0,13.020794958272909,0.9547513463437588,0.05346387800578423,0.01,10.0,2,28.73977722066115,0.004914167016977444,0
E2-cost-ratio,E,Coop,100,7,0.001,0.01,10.0,2235.515268634218,22.056229123912555,8.768948590730808,30.825177714643363,0.8837220350148605,0.29278626346346626,0.25958333333333333,10.74875,9,6.0502527603550735,61.76984370901482,625
E2-cost-ratio,E,Rand,100,7,0.001,0.01,10.0,2267.79264340315,5.685038934717903,2.9405253898300923,8.625564324547994,0.03463996936701718,0.020151171637727883,2.3607735375818333,12.350773537581833,1,4.746074091519867,0.10134645900689065,0
E2-cost-ratio,E,Full model,100,8,0.001,0.01,10.0,2275.541290593698,17.772649171368617,18.989743490224356,36.76239266159297,0.15500199506782977,0.05722887014612423,1.1566077687316991,18.295526122452383,3,0.0,0.14815433300100267,52
E2-cost-ratio,E,ME,100,8,0.001,0.01,10.0,2194.7443579503024,16.325830258186564,0.0,16.325830258186564,0.9976123985365274,0.22539754283318877,0.17364903124837014,10.0,8,36.2167850593292,23.245776708994526,0
E2-cost-ratio,E,SingleSP,100,8,0.001,0.01,10.0,2199.917246462217,49.882864657974665,0.0,49.882864657974665,0.850114748773024,0.1551285022460823,0.01,10.0,5,48.28466551143155,0.0095611670112703,0
E2-cost-ratio,E,Coop,100,8,0.001,0.01,10.0,2238.642553896505,17.83083559917655,31.218741057532664,49.04957665670921,0.7144241308518149,0.1645834692427695,0.25958333333333333,14.742083333333333,7,6.183721780735144,116.7768189169874,625
E2-cost-ratio,E,Rand,100,8,0.001,0.01,10.0,2300.316046531512,2.371332460682119,0.3286489880560451,2.699981448738164,0.4277916589449166,0.19305911042766005,0.7239764014642689,10.713976401464269,1,33.2066235459413,0.09525204097735696,0
E2-cost-ratio,E,Full model,100,9,0.001,0.01,10.0,2213.5264564070144,36.51336842709504,6.672751147529737,43.186119574624776,0.06884941611724116,0.0741441716569544,5.313366460641838,12.249924369781485,3,0.0,0.19780070902197622,49
E2-cost-ratio,E,ME,100,9,0.001,0.01,10.0,2123.825050235453,26.738057066488132,0.0,26.738057066488132,0.9984313171014236,0.3386485812619086,0.2778006649882758,10.0,10,39.66369718208366,23.490217916987604,0
E2-cost-ratio,E,SingleSP,100,9,0.001,0.01,10.0,2125.515760176783,61.5837454066714,0.0,61.5837454066714,0.11009406838984354,0.08705689999673383,0.01,10.0,4,46.2756173049962,0.007569834007881582,0
E2-cost-ratio,E,Coop,100,9,0.001,0.01,10.0,2210.133004644442,29.623501160340076,15.549137468217793,45.17263862855787,0.08477987453471998,0.06489623317286224,3.504166666666667,15.99,3,2.466682441792962,137.71629233300337,625
E2-cost-ratio,E,Rand,100,9,0.001,0.01,10.0,2229.8867127321055,0.6366585417483835,0.26480465086817406,0.9014631926165576,0.7972391705587247,0.2953152517478637,0.3425317874367953,10.332531787436796,1,38.4248062047795,0.08887537501868792,0
E2-cost-ratio,E,Full model,100,10,0.001,0.01,10.0,2161.278835470159,11.016693160892142,7.29522283482208,18.311915995714223,0.0940360659874127,0.05527052684775071,1.1815391371611392,13.299779851437659,2,0.0,0.05069066700525582,32
E2-cost-ratio,E,ME,100,10,0.001,0.01,10.0,2125.189675219901,12.39001502643422,0.0,12.39001502643422,0.9460198795852515,0.19549189978162207,0.13390015026434218,10.0,8,19.373348214673776,7.879359499987913,0
E2-cost-ratio,E,SingleSP,100,10,0.001,0.01,10.0,2147.437869459636,9.541313830135842,0.0,9.541313830135842,0.09667321272227922,0.06374055351115823,0.01,10.0,1,27.016301818217315,0.0029289170051924884,0
