method,n_users,trial,success,final_pE,final_pN,offloading_size,restricted_gap,final_grid_ne_gap,final_grid_ne_gap_source,esp_revenue,nsp_revenue,joint_revenue,runtime_sec,stage2_solver_calls,audit_stage2_solver_calls,total_stage2_solver_calls,error
Proposed,1400,9,1,7.527617050978268,4.864741944883392,23,0.0,0.0,restricted_gap_zero_certified,337.1392154447848,194.18967779533574,531.3288932401206,90.63436819985509,61,0,61,
Proposed,1400,10,1,6.380666909104616,5.3401924578923206,24,0.0,0.0,restricted_gap_zero_certified,321.8608880816672,213.20769831569282,535.06858639736,71.55897600017488,49,0,49,
Proposed,1600,1,1,7.47073610862998,5.3946339210450995,24,0.0,0.0,restricted_gap_zero_certified,356.46379675639287,214.67596966969793,571.1397664260908,112.2880592001602,67,0,67,
Proposed,1600,2,1,8.163143468343995,4.752838644567162,23,0.0,0.0,restricted_gap_zero_certified,356.9280224382437,187.2660350688018,544.1940575070455,89.73831850010902,55,0,55,
Proposed,1600,3,1,6.073275192125493,5.968928577425926,26,0.0,0.0,restricted_gap_zero_certified,333.46792479993576,238.357143097037,571.8250678969728,97.46567879989743,55,0,55,
Proposed,1600,4,1,7.850774476243639,5.143325143529187,23,0.0,0.0,restricted_gap_zero_certified,339.5308645696974,203.67245113102283,543.2033157007203,64.0439796000719,37,0,37,
Proposed,1600,5,1,6.184732971905607,6.067117692369353,26,0.0,0.0,restricted_gap_zero_certified,348.888768300983,242.2847076947741,591.1734759957571,131.8132998002693,67,0,67,
Proposed,1600,6,1,7.024494212535121,6.221574984593198,24,0.0,0.0,restricted_gap_zero_certified,345.31612154571474,222.7934423293184,568.1095638750331,125.55258429981768,67,0,67,
Proposed,1600,7,1,7.639324748660348,5.801442808888043,25,0.0,0.0,restricted_gap_zero_certified,365.0387817841412,231.21294639134717,596.2517281754883,98.72136619966477,43,0,43,
Proposed,1600,8,1,6.397697607868333,5.486979520625821,24,0.0,0.0,restricted_gap_zero_certified,319.9227155062497,219.07918082503286,539.0018963312825,93.61750849988312,49,0,49,
Proposed,1600,9,1,5.723420419994993,6.741762160464222,26,0.0,0.0,restricted_gap_zero_certified,336.22507800325394,268.13470943592955,604.3597874391835,146.25002489984035,67,0,67,
Proposed,1600,10,1,6.987550067463701,5.665642227577762,22,0.0,0.0,restricted_gap_zero_certified,311.30397545305243,226.22568910311048,537.529664556163,76.51795729994774,43,0,43,
Proposed,1800,1,1,8.596542243291344,4.591226246855822,22,0.0,0.0,restricted_gap_zero_certified,353.065064008758,183.24904987423284,536.3141138829908,73.70292029995471,37,0,37,
Proposed,1800,2,1,7.201420200402746,6.191204391340115,25,0.0,0.0,restricted_gap_zero_certified,362.7177891057707,247.24817565360456,609.9659647593753,101.19498100038618,55,0,55,
Proposed,1800,3,1,7.0202946416598255,6.245805055615127,26,0.0,0.0,restricted_gap_zero_certified,369.0634403573421,247.13159205935887,616.195032416701,132.57406170014292,73,0,73,
Proposed,1800,4,1,5.943295164487446,5.914545638221224,25,0.0,0.0,restricted_gap_zero_certified,322.80616186174166,236.18182552884895,558.9879873905907,99.35749400034547,55,0,55,
Proposed,1800,5,1,6.537434110890693,5.291779678624862,24,0.0,0.0,restricted_gap_zero_certified,329.3390084038928,208.93695802222015,538.275966426113,187.062774900347,109,0,109,
Proposed,1800,6,1,7.771506036846631,5.514934928047734,25,0.0,0.0,restricted_gap_zero_certified,368.79190932698714,220.19739712190938,588.9893064488965,118.1863621994853,67,0,67,
Proposed,1800,7,1,7.537917788739588,5.571937854872615,22,0.0,0.0,restricted_gap_zero_certified,330.57620864210065,222.08726924642355,552.6634778885242,78.24684139993042,43,0,43,
Proposed,1800,8,1,6.268386599300647,6.880161706369942,26,0.0,0.0,restricted_gap_zero_certified,359.6845551907374,274.8064682547976,634.491023445535,61.96626009978354,37,0,37,
