figure_id,block,method,n_users,trial,social_cost,esp_revenue,nsp_revenue,joint_revenue,comp_utilization,band_utilization,final_pE,final_pN,offloading_size,restricted_gap
E2,E,Coop,20,9,460.9520636150656,30.641407397383823,96.27429239304155,126.91569979042538,0.6138512333365709,0.6888215530148452,0.5091666666666667,3.504166666666667,9.0,0.4021383306884765
E2,E,Rand,20,9,449.9349998568848,45.40940962530414,14.25067031608699,59.66007994139113,0.313155662947797,0.9930086013067199,0.5680863427143859,0.5680863427143859,8,72.8604825942013
E2,E,Full model,20,10,404.02437430328666,46.21378705958158,51.931855427732636,98.1456424873142,0.24864681283673729,0.94275412739314,1.8686116802520922,1.3871314788971594,7.0,0.0
E2,E,ME,20,10,296.73769397101887,21.290031105862848,19.6,40.890031105862846,0.517155703953301,0.5474790022894018,0.22330494265124703,0.5,10.0,68.3420511603504
E2,E,SingleSP,20,10,255.80728006148058,189.1178340023736,0.0,189.1178340023736,0.5673144584494052,0.04615684950925454,0.01,0.01,10.0,99.34336255029731
E2,E,Coop,20,10,400.4174854892553,38.05103109790214,68.47650388831221,106.52753498621435,0.3811455535683019,0.8573852740606703,1.0083333333333333,2.006666666666667,8.0,0.6130031957087212
E2,E,Rand,20,10,381.0235948082211,26.11624231526795,12.262789206537242,38.37903152180519,0.27427417314207175,0.6206044301808199,0.35587732087471285,0.35587732087471285,10,68.85989559466029
E2,E,Full model,40,1,910.164362828645,69.27299299657963,57.13666580667098,126.40965880325061,0.23566847231655835,0.5831200015468966,2.9494255547059196,2.4596100997693116,8.0,0.0
E2,E,ME,40,1,714.4163226340744,47.30900760081576,19.6,66.90900760081576,0.5730356813964784,0.8739753058596573,0.48348678702037895,0.5,14.0,107.36616020800699
E2,E,SingleSP,40,1,647.4676778724706,297.4665575386183,0.0,297.4665575386183,0.20472787037051007,0.305346879469828,0.01,0.01,14.0,145.5551044796708
E2,E,Coop,40,1,838.7053637410586,59.719444877090204,113.53537053791844,173.25481541500864,0.7975885793267472,0.9477076004834594,0.75875,3.005,14.0,7.303824676192249
E2,E,Rand,40,1,875.4804636855167,4.401216225848175,2.2744492922054342,6.675665518053609,0.8223437557764612,0.2955657471169165,0.13543526290328123,0.13543526290328123,8,131.37575393976667
E2,E,Full model,40,2,812.4382773429791,78.77932271919391,65.55815301868535,144.33747573787926,0.37460445126140274,0.9792638019197313,2.075621867324202,1.6489538254671339,11.0,0.0
E2,E,ME,40,2,674.126860692884,48.99999999999999,19.6,68.6,0.43486972701922794,0.5532890727393152,0.5,0.5,15.0,97.37708335673088
E2,E,SingleSP,40,2,605.5268606928839,278.6064489363994,0.0,278.6064489363994,0.9861710801287846,0.10100722633896679,0.01,0.01,15.0,137.36814880392467
E2,E,Coop,40,2,785.3482960198039,57.05271856894976,105.50517146493408,162.55789003388384,0.7619728690343873,0.9607391543323788,0.75875,2.7554166666666666,14.0,3.2693090852357614
E2,E,Rand,40,2,846.4453954852496,13.386149902635816,6.242113731809746,19.628263634445563,0.4710141535896916,0.6878438186121411,0.7614802821026639,0.7614802821026639,6,83.83643074550012
E2,E,Full model,40,3,797.9864673439104,70.50162483275653,55.58726348148903,126.08888831424557,0.3060159223286304,0.8184798343557113,2.313854789524476,1.7078812778339882,9.0,0.0
E2,E,ME,40,3,655.1952039544576,44.62652901803902,19.599999999999998,64.22652901803902,0.6183585254675278,0.8798339466852461,0.45626529018039014,0.5,14.0,72.80871941531873
E2,E,SingleSP,40,3,590.3900948553838,262.16903919948726,0.0,262.16903919948726,0.08159619698625387,0.13897361952288462,0.01,0.01,13.0,114.06973168063722
E2,E,Coop,40,3,797.7821413816357,74.48501046757622,59.71976799695728,134.2047784645335,0.3315971528884862,0.8545638158400752,2.25625,1.7570833333333336,10.0,0.2690162657277
