n_users,trial,provider,estimator,pE,pN,approx_gain,exact_gain,abs_error,rel_error,family_size,family_hit,exact_best_set,approx_best_set
8,1,N,refined_price,0.02421537350443547,0.010627171211153362,80.25353609864831,0.0,80.25353609864831,8025353609.864831,25,1,"(0, 1, 6, 7)","(0, 1, 2, 3, 4, 5, 6, 7)"
8,1,E,boundary,0.017687187001761813,0.0248010049164442,21.744166801965687,1.1102230246251565e-16,21.744166801965687,2174416680.1965685,25,0,"(1, 2, 7)","(0, 1, 2, 5, 6, 7)"
8,1,E,refined_price,0.017687187001761813,0.0248010049164442,15.501009944836936,1.1102230246251565e-16,15.501009944836936,1550100994.4836936,25,0,"(1, 2, 7)","(0, 1, 2, 3, 5, 6, 7)"
8,1,N,boundary,0.017687187001761813,0.0248010049164442,88.63635466690178,0.0,88.63635466690178,8863635466.690178,25,1,"(1, 3, 4, 6)","(0, 1, 2, 3, 4, 5, 6, 7)"
8,1,N,refined_price,0.017687187001761813,0.0248010049164442,79.75242463934306,0.0,79.75242463934306,7975242463.934306,25,1,"(1, 3, 4, 6)","(0, 1, 2, 3, 4, 5, 6, 7)"
12,0,E,boundary,0.010811408362880708,0.022349622628750947,54.001624415434705,1.3877787807814457e-17,54.001624415434705,5400162441.54347,24,0,"(0, 1, 8)","(0, 1, 2, 4, 7, 8, 9, 10, 11)"
12,0,E,refined_price,0.010811408362880708,0.022349622628750947,37.84929146437768,1.3877787807814457e-17,37.84929146437768,3784929146.437768,24,0,"(0, 1, 8)","(0, 1, 2, 4, 7, 8, 9, 10, 11)"
12,0,N,boundary,0.010811408362880708,0.022349622628750947,167.03981388133312,0.0,167.03981388133312,16703981388.133312,24,1,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)"
12,0,N,refined_price,0.010811408362880708,0.022349622628750947,151.71753650367037,0.0,151.71753650367037,15171753650.367037,24,1,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)"
12,0,E,boundary,0.012730450388816763,0.025626325551145968,53.8097202128411,0.0,53.8097202128411,5380972021.28411,48,1,"(0, 3, 6, 10, 11)","(0, 1, 2, 4, 7, 8, 9, 10, 11)"
12,0,E,refined_price,0.012730450388816763,0.025626325551145968,37.65541752359024,0.0,37.65541752359024,3765541752.3590236,48,1,"(0, 3, 6, 10, 11)","(0, 1, 2, 4, 7, 8, 9, 10, 11)"
12,0,N,boundary,0.012730450388816763,0.025626325551145968,166.9087457644373,0.0,166.9087457644373,16690874576.44373,48,1,"(0, 3, 6, 10, 11)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)"
12,0,N,refined_price,0.012730450388816763,0.025626325551145968,151.57676381839394,0.0,151.57676381839394,15157676381.839394,48,1,"(0, 3, 6, 10, 11)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)"
12,1,E,boundary,0.024772192909226012,0.010708779776843598,69.19749838614634,2.220446049250313e-16,69.19749838614634,6919749838.614634,48,0,"(0, 1, 4, 11)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)"
12,1,E,refined_price,0.024772192909226012,0.010708779776843598,54.80297463440627,2.220446049250313e-16,54.80297463440627,5480297463.440627,48,0,"(0, 1, 4, 11)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)"
12,1,N,boundary,0.024772192909226012,0.010708779776843598,232.21139459619138,0.0,232.21139459619138,23221139459.619137,48,1,"(1, 2, 6, 7, 9)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)"
12,1,N,refined_price,0.024772192909226012,0.010708779776843598,187.75136050495456,0.0,187.75136050495456,18775136050.495457,48,1,"(1, 2, 6, 7, 9)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)"
12,1,E,boundary,0.01218197632163059,0.021058254402412567,70.45652004490589,2.7755575615628914e-17,70.45652004490589,7045652004.490588,40,0,"(0, 2, 7)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)"
12,1,E,refined_price,0.01218197632163059,0.021058254402412567,56.01014447672729,2.7755575615628914e-17,56.01014447672729,5601014447.672729,40,0,"(0, 2, 7)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)"
12,1,N,boundary,0.01218197632163059,0.021058254402412567,231.79741561116862,0.0,231.79741561116862,23179741561.11686,40,1,"(0, 7, 11)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)"
12,1,N,refined_price,0.01218197632163059,0.021058254402412567,187.45425948143625,0.0,187.45425948143625,18745425948.143623,40,1,"(0, 7, 11)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)"
