trial,seed,n_users,v_algorithm2,v_optimal,v_empty,empirical_ratio,theorem2_bound,optimal_offloading_size
18,20270019,8,124.37517738053235,131.24516910619178,208.47507480327286,0.9476552792575484,2.0905816739286536,5
19,20270020,8,136.27158561298165,138.71880317470652,183.28635512215945,0.982358429385793,1.5748923477863017,4
0,20272001,10,160.01436308969275,232.90153194397095,274.8277919945821,0.687047275962905,10.155040633332353,5
1,20272002,10,144.39946343472866,144.39946350320025,293.8751434495555,0.9999999995258182,inf,8
2,20272003,10,163.036287435656,185.8473596560387,273.03330007705927,0.8772590998193313,2.8682858847459394,7
3,20272004,10,136.47382502714723,162.5092839040916,273.1705973094354,0.8397909445449913,inf,6
4,20272005,10,161.99293227591306,187.3168165538218,273.4180149093683,0.8648072034118067,2.666846287349737,5
5,20272006,10,119.10302529474106,123.51338847706026,237.19459190178543,0.964292428240374,21.13257341554398,7
6,20272007,10,131.8998036161096,131.8998039200463,200.29056660694232,0.9999999976957001,2.5659017413119627,5
7,20272008,10,196.76213260027012,206.78219106917777,281.99627480445986,0.951542933087717,1.9709067009240249,6
8,20272009,10,135.6833146396467,140.36578358801023,222.27590521655446,0.9666409517428612,4.384266115604064,7
9,20272010,10,112.15154443230816,112.15155237123392,233.12254843839725,0.9999999292125201,7.3300642752057135,6
10,20272011,10,168.30588132301799,180.78917516359147,296.13783532224005,0.930951099094967,2.391958708944985,6
11,20272012,10,150.92413633658254,198.36157776182353,216.59061696478398,0.7608536796264042,1.5725040436226598,3
12,20272013,10,147.26327159523413,160.14196474436494,258.1993397596919,0.9195795232705611,75.32917574558155,7
13,20272014,10,134.70442805093793,209.449298295537,291.55111301883346,0.6431362107542962,2.501822001487194,5
14,20272015,10,137.28559581272506,157.61038804866763,220.13467846716807,0.871044082261465,1.5633239692691168,3
15,20272016,10,139.83785164556386,142.60871143657644,165.80558391485113,0.9805701926404062,1.2118061830382518,4
16,20272017,10,150.24206052713268,150.2420605365475,252.11684330660236,0.9999999999373356,4.6407525464813295,8
17,20272018,10,138.28414213191226,140.92331021460436,227.8491070346726,0.981272309892004,3.5137505231569697,6
18,20272019,10,135.640749461535,137.61539534046182,222.19728164994882,0.9856509813161418,14.290124547590064,6
19,20272020,10,125.80176343633141,133.69260978779883,230.64226386499274,0.9409776923048176,3.4876316259826496,6
0,20274001,12,177.18390633990646,188.23612345761632,226.46056585454903,0.9412853552511753,1.2720413343533532,3
1,20274002,12,181.7702666902323,221.59065171722102,277.3909164301055,0.820297540900756,1.3567521942220804,4
2,20274003,12,195.07186780294504,230.22553301443236,272.12011970026407,0.8473077040969057,1.3971871741179778,4
3,20274004,12,171.84060660215297,184.71815609440688,247.86398813297222,0.930285415551288,2.1127287788522966,6
4,20274005,12,170.5093965380486,188.57523699144116,244.61710757047317,0.9041982354543587,2.449310495662322,7
5,20274006,12,191.2570581579905,220.14280754195147,341.4298701061538,0.8687863132732313,1.732993895309443,5
6,20274007,12,168.95270943005494,168.95270948786765,229.64434672553705,0.9999999996578172,1.8431808227613773,5
7,20274008,12,160.23151537755882,164.08125916649635,264.5548502585004,0.9765375777313415,25.50606285852799,7
8,20274009,12,146.62548535545912,172.03817532790777,227.29782095594155,0.8522845878595747,1.6067636530911455,4
9,20274010,12,200.82336497744427,226.04282941826787,271.9169573708624,0.8884305929733445,1.69828244960653,5
10,20274011,12,183.63309252849007,192.97345306132235,230.91075136463058,0.9515976918863335,1.3354162201007804,4
11,20274012,12,196.89282943481246,214.5203305959273,276.7245351401831,0.9178282957510531,1.8457278025246906,6
12,20274013,12,186.22908576621091,204.9948533783391,246.38363606966624,0.9084573719638999,1.3705764244859384,5
13,20274014,12,167.61471869619925,227.36301650135533,326.3442576554621,0.737211888175314,5.937447493939677,6
14,20274015,12,184.30580870208064,233.27619499371144,304.8628300440626,0.7900755098781043,2.8788266126772544,6
