trial,trial_seed,n_users,ratio,F,B,cE,cN,final_pE,final_pN,price_margin_E,price_margin_N,comp_utilization,band_utilization,offloading_ratio,offloading_size,social_cost,esp_revenue,nsp_revenue,joint_revenue,restricted_gap,outer_iterations,stage2_oracle_calls,runtime_sec,stage1_method,stopping_reason
8,502384,50,1.5,77.45966692414834,51.63977794943222,0.01,0.01,3.073862488821731,1.0574329982584671,3.0638624888217314,1.0474329982584671,0.37632724251586797,0.8840267011007159,0.18,9,1120.6767876297595,89.31215180631999,47.81630362450183,137.12845543082182,0.0,3,37,1.0256948992609978,vbbr_brd,verified_gain_tolerance
8,502384,50,2.0,89.44271909999159,44.721359549995796,0.01,0.01,2.737075981016473,1.274785468378742,2.727075981016473,1.264785468378742,0.3453783264284932,0.9296995660967953,0.18,9,1120.0336426054803,84.24367665422635,52.586527466487055,136.8302041207134,0.0,4,43,2.2039432004094124,vbbr_brd,verified_gain_tolerance
8,502384,50,2.5,100.0,40.0,0.01,0.01,2.786247118200113,1.240957452387599,2.7762471182001134,1.230957452387599,0.30617779063147976,1.0,0.18,9,1120.272035093464,85.00252088975235,49.238298095503964,134.2408189852563,0.0,3,37,0.9622945999726653,vbbr_brd,verified_gain_tolerance
8,502384,50,3.0,109.54451150103323,36.51483716701107,0.01,0.01,2.481978795407048,1.4130720363659401,2.4719787954070482,1.4030720363659401,0.2961377992438123,1.0,0.18,9,1117.9048708237049,80.19166092960947,51.23294694148894,131.4246078710984,0.0,3,37,1.3926929999142885,vbbr_brd,verified_gain_tolerance
8,502384,50,4.0,126.49110640673517,31.622776601683793,0.01,0.01,2.6419868589497457,1.3423959539778594,2.631986858949746,1.3323959539778594,0.21951493389183707,1.0000000000000002,0.16,8,1120.5615435671675,73.081554934145,42.13405959762921,115.21561453177421,0.0,4,43,0.8017073003575206,vbbr_brd,verified_gain_tolerance
9,502385,50,0.5,44.721359549995796,89.44271909999159,0.01,0.01,3.4000548615825315,0.7784792709015494,3.3900548615825317,0.7684792709015494,0.8370494178863197,1.0,0.28,14,1062.0450201993044,126.90327293462673,68.73487556141363,195.63814849604034,0.0,7,61,3.330757400020957,vbbr_brd,verified_gain_tolerance
9,502385,50,1.0,63.245553203367585,63.245553203367585,0.01,0.01,2.886605489669362,1.4384323316153607,2.876605489669362,1.4284323316153607,0.47443569989840784,0.7466284681458504,0.2,10,1086.2979225412885,86.31527560108162,67.45190386268575,153.76717946376738,0.0,8,67,2.7282228004187346,vbbr_brd,verified_gain_tolerance
9,502385,50,1.5,77.45966692414834,51.63977794943222,0.01,0.01,2.9946898509030233,1.3337608141097008,2.9846898509030235,1.3237608141097008,0.37967399162953697,0.9630748140443697,0.2,10,1084.4396421427195,87.77800017484219,65.83455625422911,153.6125564290713,0.0,4,43,1.4408173998817801,vbbr_brd,verified_gain_tolerance
9,502385,50,2.0,89.44271909999159,44.721359549995796,0.01,0.01,3.1630989871449393,1.5588189988852572,3.1530989871449395,1.5488189988852572,0.2604105189028734,0.867632574711029,0.16,8,1099.1214105611668,73.4414294786005,60.09682305216503,133.53825253076553,10.322878048548688,11,103,3.5296237003058195,vbbr_brd,cycle_safeguard
9,502385,50,2.5,100.0,40.0,0.01,0.01,2.624406401978074,1.7181830405114251,2.614406401978074,1.708183040511425,0.2916501773323859,1.0,0.18,9,1090.9272676138776,76.24920907558304,68.32732162045701,144.57653069604004,0.0,4,43,1.0913501000031829,vbbr_brd,verified_gain_tolerance
