pE,pN,esp_revenue,nsp_revenue,joint_revenue,eps
13.38926174,0.1006711409,101.0395972,3.626845638,104.6664428,39.09428225
13.48993289,0.1006711409,101.4192997,3.626845638,105.0461453,38.71457978
13.59060403,0.1006711409,101.7975859,3.626845638,105.4244315,38.33629357
13.69127517,0.1006711409,102.1744715,3.626845638,105.8013172,37.9594079
13.79194631,0.1006711409,102.5499721,3.626845638,106.1768178,37.58390733
13.89261745,0.1006711409,97.86615439,3.626845638,101.493,42.26772506
13.99328859,0.1006711409,98.22061085,3.626845638,101.8474565,41.9132686
14.09395973,0.1006711409,98.57379275,3.626845638,102.2006384,41.5600867
14.19463087,0.1006711409,82.6051044,3.626845638,86.23195004,57.52877505
14.29530201,0.1006711409,82.89792432,3.626845638,86.52476996,57.23595512
14.39597315,0.1006711409,83.18971356,3.626845638,86.8165592,56.94416589
14.4966443,0.1006711409,83.48048291,3.626845638,87.10732855,56.65339653
14.59731544,0.1006711409,83.770243,3.626845638,87.39708864,56.36363644
14.69798658,0.1006711409,84.05900427,3.626845638,87.68584991,56.07487518
14.79865772,0.1006711409,84.34677697,3.626845638,87.97362261,55.78710248
14.89932886,0.1006711409,84.63357118,3.626845638,88.26041682,55.50030826
15,0.1006711409,84.91939683,3.626845638,88.54624247,55.21448262
0,0.2013422819,-1,7.653691275,6.653691275,176.2863278
0.1006711409,0.2013422819,9.067114094,7.653691275,16.72080537,176.2863278
0.2013422819,0.2013422819,19.13422819,7.653691275,26.78791946,176.2863278
0.3020134228,0.2013422819,29.20134228,7.653691275,36.85503356,176.2863278
0.4026845638,0.2013422819,39.26845638,7.653691275,46.92214765,176.2863278
0.5033557047,0.2013422819,49.33557047,7.653691275,56.98926174,176.2863278
0.6040268456,0.2013422819,59.40268456,7.653691275,67.05637584,176.2863278
0.7046979866,0.2013422819,69.46979866,7.653691275,77.12348993,176.2863278
0.8053691275,0.2013422819,79.53691275,7.653691275,87.19060403,174.3521704
0.9060402685,0.2013422819,85.59471849,7.653691275,93.24840976,172.3972373
1.006711409,0.2013422819,90.32544811,7.653691275,97.97913939,168.4222688
1.10738255,0.2013422819,94.82053529,7.653691275,102.4742266,165.1006711
1.208053691,0.2013422819,99.11202596,7.653691275,106.7657172,157.0469799
1.308724832,0.2013422819,103.2253023,7.653691275,110.8789936,150.8514786
1.409395973,0.2013422819,102.9744397,7.653691275,110.628131,148.9440894
1.510067114,0.2013422819,106.63945,7.653691275,114.2931412,145.0578586
