method,n_users,trial,source,success,budget_stage2_calls,search_budget_exhausted,budget_stop_mode,final_pE,final_pN,offloading_size,final_grid_ne_gap,esp_revenue,nsp_revenue,joint_revenue,runtime_sec,stage2_solver_calls,audit_stage2_solver_calls,total_stage2_solver_calls,error
Proposed,100,8,reused_reference,1,37,0,reference_reuse,2.5052184022836066,2.8725268703070523,14,0.0,110.9348499579029,105.81536237838735,216.75021233629025,1.8383015419822186,37,0,37,
Proposed,100,9,reused_reference,1,73,0,reference_reuse,3.1021354516515296,2.2035257056549473,12,0.0,109.1028750791019,77.80995041580903,186.91282549491092,2.223229374969378,73,0,73,
Proposed,100,10,reused_reference,1,49,0,reference_reuse,2.568505783998726,2.130026055335867,12,0.0,98.68459584524288,84.80104221343467,183.48563805867755,1.0825794999836944,49,0,49,
Proposed,150,1,reused_reference,1,55,0,reference_reuse,2.857849006046319,2.7688382702868424,14,0.0,123.77436824833956,110.3535308114737,234.12789905981327,1.8652057920116931,55,0,55,
Proposed,150,2,reused_reference,1,37,0,reference_reuse,4.92679656639285,1.8290162514642239,11,0.0,116.4179548792821,71.47864110541622,187.8965959846983,0.8873164579854347,37,0,37,
Proposed,150,3,reused_reference,1,55,0,reference_reuse,5.236468418135505,2.907026910064831,17,0.0,204.1870151724641,115.88107640259325,320.06809157505734,2.460449374979362,55,0,55,
Proposed,150,4,reused_reference,1,43,0,reference_reuse,3.548350789641332,2.9549526748745087,14,0.0,141.03914058617053,117.79810699498034,258.8372475811509,1.5079285419778898,43,0,43,
Proposed,150,5,reused_reference,1,43,0,reference_reuse,3.434398338622461,2.9156443858852086,14,0.0,131.45778107602283,116.22577543540837,247.6835565114312,1.3079819579725154,43,0,43,
Proposed,150,6,reused_reference,1,37,0,reference_reuse,3.158322939485162,3.5351519624808154,16,0.0,142.2261495634292,140.53510255386146,282.76125211729067,2.5015095000271685,37,0,37,
Proposed,150,7,reused_reference,1,37,0,reference_reuse,5.3167129984463415,2.9171244856476686,12,0.0,147.01573947693814,105.55717424161823,252.57291371855638,0.9017470419639722,37,0,37,
Proposed,150,8,reused_reference,1,61,0,reference_reuse,4.142914672858241,3.4099340294970175,12,0.0,132.06916640824383,109.66412302527293,241.73328943351675,1.7139778340351768,61,0,61,
Proposed,150,9,reused_reference,1,49,0,reference_reuse,5.473368130725956,3.1250108233217233,16,0.0,202.47487893900723,124.60043293286894,327.0753118718762,1.8992302500410005,49,0,49,
Proposed,150,10,reused_reference,1,49,0,reference_reuse,4.619566303345881,3.4386275792915515,16,0.0,175.8403923557943,137.14510317166207,312.98549552745635,1.9574784169672057,49,0,49,
Proposed,200,1,reused_reference,1,43,0,reference_reuse,4.290842249831346,3.8004991887352806,16,0.0,172.272715414361,149.34086870544417,321.6135841198052,1.7852869579801336,43,0,43,
Proposed,200,2,reused_reference,1,61,0,reference_reuse,3.5361762049019414,3.831474885312231,18,0.0,169.9364985661652,152.8589954124892,322.7954939786544,3.0091802090173587,61,0,61,
Proposed,200,3,reused_reference,1,43,0,reference_reuse,4.588946759855281,3.348446068813185,15,0.0,164.91333581701903,132.70334148873926,297.6166773057583,1.9765770839876495,43,0,43,
Proposed,200,4,reused_reference,1,49,0,reference_reuse,3.0881375371060527,3.4363765597365057,15,0.0,139.09004591095427,137.05506238946023,276.1451083004145,1.677138167025987,49,0,49,
Proposed,200,5,reused_reference,1,49,0,reference_reuse,4.129938739366248,3.7390620911387322,15,0.0,157.47064158042832,141.13024891719695,298.6008904976253,1.8504531660000794,49,0,49,
Proposed,200,6,reused_reference,1,73,0,reference_reuse,3.1610498892673817,4.25963850750701,20,0.0,176.1065019112203,169.98554030028038,346.0920422115007,4.641172334027942,73,0,73,
Proposed,200,7,reused_reference,1,49,0,reference_reuse,3.442370638265715,3.3243116745275096,15,0.0,146.3534484182709,132.5724669811004,278.9259153993713,1.8981341670150869,49,0,49,
Proposed,200,8,reused_reference,1,85,0,reference_reuse,2.8336237847447228,4.968334025547808,18,0.0,157.9647255432115,198.33336102191237,356.29808656512387,4.6731785840238445,85,0,85,
Proposed,200,9,reused_reference,1,37,0,reference_reuse,4.986759294959907,2.799991354491511,15,0.0,178.23737525548245,106.87605277433106,285.1134280298135,1.455138250021264,37,0,37,
Proposed,200,10,reused_reference,1,91,0,reference_reuse,3.367275816412938,4.04402820192878,17,0.0,163.94185338315975,154.45664374279428,318.398497125954,5.561999208002817,91,0,91,
Proposed,250,1,reused_reference,1,55,0,reference_reuse,4.300491571103917,3.0952267209123376,15,0.0,155.9578478494301,114.1491848510127,270.1070327004428,2.38794574997155,55,0,55,
Proposed,250,2,reused_reference,1,43,0,reference_reuse,5.876164809935101,4.314415996985184,19,0.0,241.54591452668674,167.70457872899522,409.25049325568193,2.6219274169998243,43,0,43,
Proposed,250,3,reused_reference,1,49,0,reference_reuse,3.780172063636577,3.976762617761618,17,0.0,171.37054344400988,158.67050471046474,330.04104815447465,2.3896268340176903,49,0,49,
Proposed,250,4,reused_reference,1,121,0,reference_reuse,3.7755125518483106,4.643413687327874,19,0.0,189.99403085099942,172.4437238457937,362.43775469679315,6.549279416969512,121,0,121,
Proposed,250,5,reused_reference,1,37,0,reference_reuse,3.823647358019101,4.2274765087761175,17,0.0,175.21234081833808,163.56454286905935,338.77688368739746,1.7810119159985334,37,0,37,
Proposed,250,6,reused_reference,1,49,0,reference_reuse,4.510949954279422,3.719333575792756,17,0.0,187.37821651514267,148.37334303171025,335.75155954685295,2.1929674580460414,49,0,49,
Proposed,250,7,reused_reference,1,43,0,reference_reuse,4.747988043845019,3.4058588282964064,14,0.0,162.5833140479526,132.90634931753232,295.48966336548494,1.4164801249862649,43,0,43,
Proposed,250,8,reused_reference,1,55,0,reference_reuse,4.481218905628022,3.466961860655078,17,0.0,182.1176862936333,138.2784744262031,320.3961607198364,2.5252570000011474,55,0,55,
Proposed,250,9,reused_reference,1,61,0,reference_reuse,3.993202659292543,4.0357832631240775,16,0.0,157.83605192070334,148.35329303863108,306.18934495933445,2.675431874988135,61,0,61,
Proposed,250,10,reused_reference,1,61,0,reference_reuse,4.116130366759239,2.9128745132853924,15,0.0,150.46343502546043,116.07588163205496,266.53931665751537,2.7420968749793246,61,0,61,
BO-online,50,1,budget_matched_rerun,1,49,1,budget_during_objective,0.5,0.5,14,130.7246687877992,48.09136039808878,19.6,67.69136039808879,10.328027583018411,49,240,289,
GA,50,1,budget_matched_rerun,1,49,1,budget_during_objective,0.5,0.5,14,130.7246687877992,48.09136039808878,19.6,67.69136039808879,10.323028249957133,49,240,289,
MARL,50,1,budget_matched_rerun,1,49,1,budget_after_new_action,3.005,2.4059999999999997,10,3.8351019809630316,84.5774074806811,81.72420220529166,166.30160968597278,6.536656917014625,49,240,289,
BO-online,50,2,budget_matched_rerun,1,49,1,budget_during_objective,0.5,0.5,13,71.73919739762886,40.77548041773237,19.6,60.37548041773237,8.72906912502367,49,240,289,
GA,50,2,budget_matched_rerun,1,49,1,budget_during_objective,0.5,0.5,13,71.73919739762886,40.77548041773237,19.6,60.37548041773237,8.769121250021271,49,240,289,
MARL,50,2,budget_matched_rerun,1,49,1,budget_after_new_action,4.202999999999999,5.401,1,25.2984280695875,8.695218358832053,8.930143358983925,17.625361717815977,5.151273250055965,49,240,289,
BO-online,50,3,budget_matched_rerun,1,43,1,budget_during_objective,0.5,0.5,14,126.52081208648461,48.99999999999999,19.600000000000005,68.6,9.172011874965392,43,240,283,
GA,50,3,budget_matched_rerun,1,43,1,budget_during_objective,0.5,0.5,14,126.52081208648461,48.99999999999999,19.600000000000005,68.6,9.244831583986524,43,240,283,
MARL,50,3,budget_matched_rerun,1,43,1,budget_after_new_action,4.802,5.401,5,28.386219696822984,58.229831390145236,49.087575702104296,107.31740709224954,7.251579208008479,43,240,283,
BO-online,50,4,budget_matched_rerun,1,43,1,budget_during_objective,0.5,0.5,11,82.42796993637407,35.25615992244815,19.6,54.85615992244815,7.13774083298631,43,240,283,
GA,50,4,budget_matched_rerun,1,43,1,budget_during_objective,0.5,0.5,11,82.42796993637407,35.25615992244815,19.6,54.85615992244815,7.057438415999059,43,240,283,
MARL,50,4,budget_matched_rerun,1,43,1,budget_after_new_action,4.802,5.401,1,31.339575707388686,8.828306313857357,5.7745901399544515,14.602896453811809,3.773047708964441,43,240,283,
BO-online,50,5,budget_matched_rerun,1,49,1,budget_during_objective,0.5,0.5,12,109.26050420168067,41.564166113723225,19.6,61.164166113723226,8.99235737498384,49,240,289,
GA,50,5,budget_matched_rerun,1,49,1,budget_during_objective,0.5,0.5,12,109.26050420168067,41.564166113723225,19.6,61.164166113723226,8.961343500006478,49,240,289,
MARL,50,5,budget_matched_rerun,1,49,1,budget_after_new_action,4.802,5.401,1,41.24802095985038,11.636806395416336,10.094853097567933,21.73165949298427,5.256281792011578,49,240,289,
BO-online,50,6,budget_matched_rerun,1,37,1,budget_during_objective,0.5,0.5,13,109.2605042016807,45.40174138250286,19.6,65.00174138250287,6.915439584001433,37,240,277,
GA,50,6,budget_matched_rerun,1,37,1,budget_during_objective,0.5,0.5,13,109.2605042016807,45.40174138250286,19.6,65.00174138250287,6.918768375006039,37,240,277,
MARL,50,6,budget_matched_rerun,1,37,1,budget_after_new_action,4.802,5.401,2,34.01435011651594,24.284470525267412,26.150509000732146,50.43497952599956,4.1715952919912525,37,240,277,
BO-online,50,7,budget_matched_rerun,1,37,1,budget_during_objective,0.5,0.5,14,110.91139621949313,46.74663393953907,19.599999999999998,66.34663393953907,7.771076625038404,37,240,277,
GA,50,7,budget_matched_rerun,1,37,1,budget_during_objective,0.5,0.5,14,110.91139621949313,46.74663393953907,19.599999999999998,66.34663393953907,7.796086124959402,37,240,277,
MARL,50,7,budget_matched_rerun,1,37,1,budget_after_new_action,4.802,5.401,2,44.00377897084198,23.87009894812437,22.926261196808788,46.79636014493316,5.218894708028529,37,240,277,
BO-online,50,8,budget_matched_rerun,1,37,1,budget_during_objective,0.5,0.5,13,84.77162134890968,47.850578892920204,19.599999999999998,67.4505788929202,6.806719041953329,37,240,277,
GA,50,8,budget_matched_rerun,1,37,1,budget_during_objective,0.5,0.5,13,84.77162134890968,47.850578892920204,19.599999999999998,67.4505788929202,6.793963041040115,37,240,277,
MARL,50,8,budget_matched_rerun,1,37,1,budget_after_new_action,4.802,5.401,3,13.05059968920883,36.46299673325844,29.072949728641525,65.53594646189997,4.177511250018142,37,240,277,
BO-online,50,9,budget_matched_rerun,1,43,1,budget_during_objective,0.5,0.5,12,95.24947983331877,41.196957690221446,19.600000000000005,60.79695769022145,7.81695166695863,43,240,283,
GA,50,9,budget_matched_rerun,1,43,1,budget_during_objective,0.5,0.5,12,95.24947983331877,41.196957690221446,19.600000000000005,60.79695769022145,7.8384940000250936,43,240,283,
MARL,50,9,budget_matched_rerun,1,43,1,budget_after_new_action,4.802,5.401,1,30.492546791542555,13.265640625058401,11.789806149633915,25.055446774692314,4.733292707998771,43,240,283,
BO-online,50,10,budget_matched_rerun,1,43,1,budget_during_objective,0.5,0.5,14,105.23361344537815,47.87352623891099,19.6,67.47352623891099,8.182922874984797,43,240,283,
GA,50,10,budget_matched_rerun,1,43,1,budget_during_objective,0.5,0.5,14,105.23361344537815,47.87352623891099,19.6,67.47352623891099,8.04541366698686,43,240,283,
MARL,50,10,budget_matched_rerun,1,43,1,budget_after_new_action,4.802,5.401,1,27.840300488605752,12.295499505171543,6.941603548553677,19.23710305372522,4.2109421249479055,43,240,283,
BO-online,100,1,budget_matched_rerun,1,55,1,budget_during_objective,0.5,0.5,17,177.71764705882353,49.0,19.599999999999998,68.6,59.65527441696031,55,240,295,
GA,100,1,budget_matched_rerun,1,55,1,budget_during_objective,0.5,0.5,17,177.71764705882353,49.0,19.599999999999998,68.6,59.64791116700508,55,240,295,
MARL,100,1,budget_matched_rerun,1,55,1,budget_after_new_action,4.802,5.401,3,56.909184658633336,34.70514400457168,32.55122634872406,67.25637035329574,42.952751042030286,55,240,295,
BO-online,100,2,budget_matched_rerun,1,103,1,budget_during_objective,2.825947068527629,0.5534328380229555,12,72.43533301512693,104.20197522073822,21.737313520918217,125.93928874165644,51.083190665987786,103,240,343,
GA,100,2,budget_matched_rerun,1,103,1,budget_during_objective,0.121696,5.031579,16,60.666243458473815,11.1696,160.80181538328247,171.97141538328248,51.36228541599121,103,240,343,
MARL,100,2,budget_matched_rerun,1,103,0,completed,4.802,5.401,2,45.02423843248343,24.474020990542076,27.48940161198219,51.96342260252426,20.952280750032514,60,240,300,
BO-online,100,3,budget_matched_rerun,1,49,1,budget_during_objective,0.5,0.5,16,150.97345868662632,49.0,19.599999999999998,68.6,24.67849079199368,49,240,289,
GA,100,3,budget_matched_rerun,1,49,1,budget_during_objective,0.5,0.5,16,150.97345868662632,49.0,19.599999999999998,68.6,24.526530999981333,49,240,289,
MARL,100,3,budget_matched_rerun,1,49,1,budget_after_new_action,4.802,5.401,1,65.27255450930897,11.79915155077291,7.835030384078277,19.63418193485119,15.91268637496978,49,240,289,
BO-online,100,4,budget_matched_rerun,1,49,1,budget_during_objective,0.5,0.5,18,181.89767794401996,49.00000000000001,19.6,68.60000000000001,28.66820200002985,49,240,289,
GA,100,4,budget_matched_rerun,1,49,1,budget_during_objective,0.5,0.5,18,181.89767794401996,49.00000000000001,19.6,68.60000000000001,28.724284666008316,49,240,289,
MARL,100,4,budget_matched_rerun,1,49,1,budget_after_new_action,4.802,5.401,5,42.5271226733519,54.79880858510056,53.39352103704979,108.19232962215034,21.17353212501621,49,240,289,
BO-online,100,5,budget_matched_rerun,1,55,1,budget_during_objective,0.5,0.5,15,165.63697478991597,48.99999999999999,19.6,68.6,26.870729417016264,55,240,295,
GA,100,5,budget_matched_rerun,1,55,1,budget_during_objective,0.5,0.5,15,165.63697478991597,48.99999999999999,19.6,68.6,26.789163624984212,55,240,295,
MARL,100,5,budget_matched_rerun,1,55,1,budget_after_new_action,4.802,5.401,1,54.72187251485495,12.563276763020037,8.696138024648857,21.259414787668895,15.451996957999654,55,240,295,
BO-online,100,6,budget_matched_rerun,1,37,1,budget_during_objective,0.5,0.5,19,174.19691306972342,49.00000000000001,19.6,68.60000000000001,22.016223957994953,37,240,277,
GA,100,6,budget_matched_rerun,1,37,1,budget_during_objective,0.5,0.5,19,174.19691306972342,49.00000000000001,19.6,68.60000000000001,22.040984124992974,37,240,277,
MARL,100,6,budget_matched_rerun,1,37,1,budget_after_new_action,4.802,5.401,4,51.9299072959915,44.46138890056087,36.24991003926557,80.71129893982643,16.380719458975364,37,240,277,
BO-online,100,7,budget_matched_rerun,1,37,1,budget_during_objective,0.5,0.5,18,159.3302375057052,49.0,19.599999999999998,68.6,19.88506691600196,37,240,277,
GA,100,7,budget_matched_rerun,1,37,1,budget_during_objective,0.5,0.5,18,159.3302375057052,49.0,19.599999999999998,68.6,19.934386792010628,37,240,277,
MARL,100,7,budget_matched_rerun,1,37,1,budget_after_new_action,4.802,1.807,9,14.556539821224618,99.7477461563287,67.36900292660866,167.11674908293736,13.886527916009072,37,240,277,
BO-online,100,8,budget_matched_rerun,1,37,1,budget_during_objective,0.5,0.5,18,150.78596068365664,49.00000000000001,19.6,68.60000000000001,20.81475566601148,37,240,277,
GA,100,8,budget_matched_rerun,1,37,1,budget_during_objective,0.5,0.5,18,150.78596068365664,49.00000000000001,19.6,68.60000000000001,20.664536833995953,37,240,277,
MARL,100,8,budget_matched_rerun,1,37,1,budget_after_new_action,4.802,5.401,4,21.920565852529272,47.3821042825428,34.88791732081685,82.27002160335965,13.300143957952969,37,240,277,
BO-online,100,9,budget_matched_rerun,1,73,1,budget_during_objective,0.5,0.5,16,133.7069904730065,48.99999999999999,19.6,68.6,37.91232795797987,73,240,313,
GA,100,9,budget_matched_rerun,1,73,1,budget_during_objective,0.5,0.5,16,133.7069904730065,48.99999999999999,19.6,68.6,33.653627249994315,73,240,313,
MARL,100,9,budget_matched_rerun,1,73,0,completed,4.802,5.401,3,35.620426015265764,34.70490645191261,24.078861893501017,58.783768345413634,21.559472624969203,60,240,300,
BO-online,100,10,budget_matched_rerun,1,49,1,budget_during_objective,0.5,0.5,16,131.40840336134457,49.0,19.6,68.6,24.75426991697168,49,240,289,
GA,100,10,budget_matched_rerun,1,49,1,budget_during_objective,0.5,0.5,16,131.40840336134457,49.0,19.6,68.6,24.721648833015934,49,240,289,
MARL,100,10,budget_matched_rerun,1,49,1,budget_after_new_action,4.802,5.401,2,29.72795882569279,22.35240405723444,18.702861810285658,41.0552658675201,13.511734625033569,49,240,289,
BO-online,150,1,budget_matched_rerun,1,55,1,budget_during_objective,0.5,0.5,18,172.96981313007416,49.0,19.6,68.6,84.39342154195765,55,240,295,
GA,150,1,budget_matched_rerun,1,55,1,budget_during_objective,0.5,0.5,18,172.96981313007416,49.0,19.6,68.6,84.7093156669871,55,240,295,
MARL,150,1,budget_matched_rerun,1,55,1,budget_after_new_action,4.802,5.401,4,41.679304990373694,46.214975491883266,39.45326467817769,85.66824017006095,60.70553337497404,55,240,295,
BO-online,150,2,budget_matched_rerun,1,37,1,budget_during_objective,0.5,0.5,17,152.0936872320917,48.99999999999999,19.6,68.6,53.45964154199464,37,240,277,
GA,150,2,budget_matched_rerun,1,37,1,budget_during_objective,0.5,0.5,17,152.0936872320917,48.99999999999999,19.6,68.6,50.8072577919811,37,240,277,
MARL,150,2,budget_matched_rerun,1,37,1,budget_after_new_action,4.802,5.401,4,40.095441867540174,44.16209926622921,32.235891543623254,76.39799080985247,46.6309205419966,37,240,277,
BO-online,150,3,budget_matched_rerun,1,55,1,budget_during_objective,0.5,0.5,21,215.19576633893138,49.00000000000001,19.6,68.60000000000001,135.08942470798502,55,240,295,
GA,150,3,budget_matched_rerun,1,55,1,budget_during_objective,0.5,0.5,21,215.19576633893138,49.00000000000001,19.6,68.60000000000001,100.84684700000798,55,240,295,
MARL,150,3,budget_matched_rerun,1,55,1,budget_after_new_action,4.802,5.401,12,26.965217931167246,137.37442506591543,106.8805304460052,244.25495551192063,103.77711366699077,55,240,295,
BO-online,150,4,budget_matched_rerun,1,43,1,budget_during_objective,0.5,0.5,19,210.2175385905543,48.99999999999999,19.6,68.6,74.02263458300149,43,240,283,
GA,150,4,budget_matched_rerun,1,43,1,budget_during_objective,0.5,0.5,19,210.2175385905543,48.99999999999999,19.6,68.6,66.12529858300695,43,240,283,
MARL,150,4,budget_matched_rerun,1,43,1,budget_after_new_action,4.802,5.401,6,37.35284802088992,71.93953195212539,66.08848620350854,138.02801815563393,50.23290295898914,43,240,283,
BO-online,150,5,budget_matched_rerun,1,43,1,budget_during_objective,0.5,0.5,19,190.63921574904109,48.99999999999999,19.6,68.6,66.63861341698794,43,240,283,
GA,150,5,budget_matched_rerun,1,43,1,budget_during_objective,0.5,0.5,19,190.63921574904109,48.99999999999999,19.6,68.6,66.82481675001327,43,240,283,
MARL,150,5,budget_matched_rerun,1,43,1,budget_after_new_action,4.802,5.401,3,62.97259128150269,34.03247769787675,34.65931710819902,68.69179480607576,46.82700549997389,43,240,283,
BO-online,150,6,budget_matched_rerun,1,37,1,budget_during_objective,0.5,0.5,22,217.9315606898528,49.0,19.599999999999998,68.6,63.236108917044476,37,240,277,
GA,150,6,budget_matched_rerun,1,37,1,budget_during_objective,0.5,0.5,22,217.9315606898528,49.0,19.599999999999998,68.6,63.41344599996228,37,240,277,
MARL,150,6,budget_matched_rerun,1,37,1,budget_after_new_action,4.802,5.401,6,57.098472189418814,64.53246793172208,53.14335946247811,117.67582739420018,48.427360542002134,37,240,277,
BO-online,150,7,budget_matched_rerun,1,37,1,budget_during_objective,0.5,0.5,19,215.45698431913297,48.99999999999999,19.6,68.6,57.170142916962504,37,240,277,
GA,150,7,budget_matched_rerun,1,37,1,budget_during_objective,0.5,0.5,19,215.45698431913297,48.99999999999999,19.6,68.6,57.19289504195331,37,240,277,
MARL,150,7,budget_matched_rerun,1,37,1,budget_after_new_action,4.802,5.401,4,90.012266609978,45.88811309947939,32.80679163332334,78.69490473280274,42.98857741703978,37,240,277,
BO-online,150,8,budget_matched_rerun,1,61,1,budget_during_objective,0.5,0.5,20,206.1398966931124,49.0,19.6,68.6,101.81748299999163,61,240,301,
GA,150,8,budget_matched_rerun,1,61,1,budget_during_objective,0.5,0.5,20,206.1398966931124,49.0,19.6,68.6,102.38879587501287,61,240,301,
MARL,150,8,budget_matched_rerun,1,61,0,completed,4.802,5.401,4,69.93468121226599,48.4033309488217,36.43934666258189,84.84267761140359,74.88431499997387,60,240,300,
BO-online,150,9,budget_matched_rerun,1,49,1,budget_during_objective,0.5,0.5,22,220.00000000000006,48.99999999999999,19.6,68.6,89.88573145901319,49,240,289,
GA,150,9,budget_matched_rerun,1,49,1,budget_during_objective,0.5,0.5,22,220.00000000000006,48.99999999999999,19.6,68.6,89.69714050000766,49,240,289,
MARL,150,9,budget_matched_rerun,1,49,1,budget_after_new_action,4.802,5.401,12,31.25609356261903,141.19854284765046,113.60637217685256,254.80491502450303,80.21382512501441,49,240,289,
BO-online,150,10,budget_matched_rerun,1,49,1,budget_during_objective,0.5,0.5,22,220.00000000000003,49.0,19.6,68.6,90.80800870800158,49,240,289,
GA,150,10,budget_matched_rerun,1,49,1,budget_during_objective,0.5,0.5,22,220.00000000000003,49.0,19.6,68.6,88.71824366599321,49,240,289,
MARL,150,10,budget_matched_rerun,1,49,1,budget_after_new_action,4.802,5.401,8,69.78442839487782,89.14944073871008,73.25149880288956,162.40093954159966,73.09197954100091,49,240,289,
BO-online,200,1,budget_matched_rerun,1,43,1,budget_during_objective,0.5,0.5,24,220.00000000000003,49.0,19.600000000000005,68.60000000000001,161.26449937501457,43,240,283,
GA,200,1,budget_matched_rerun,1,43,1,budget_during_objective,0.5,0.5,24,220.00000000000003,49.0,19.600000000000005,68.60000000000001,160.92173004098004,43,240,283,
MARL,200,1,budget_matched_rerun,1,43,1,budget_after_new_action,4.802,5.401,8,64.19918734211107,92.03085364563519,70.22345282488497,162.25430647052016,131.03516262501944,43,240,283,
BO-online,200,2,budget_matched_rerun,1,61,1,budget_during_objective,0.5,0.5,24,220.00000000000006,49.000000000000014,19.6,68.60000000000002,236.71223679103423,61,240,301,
GA,200,2,budget_matched_rerun,1,61,1,budget_during_objective,0.5,0.5,24,220.00000000000006,49.000000000000014,19.6,68.60000000000002,236.87269458401715,61,240,301,
MARL,200,2,budget_matched_rerun,1,61,0,completed,4.802,5.401,6,96.5042203148587,67.82764884998626,49.04139787348764,116.8690467234739,172.99826812499668,60,240,300,
BO-online,200,3,budget_matched_rerun,1,43,1,budget_during_objective,0.5,0.5,21,218.08668280839765,49.00000000000001,19.6,68.60000000000001,147.4443772500381,43,240,283,
GA,200,3,budget_matched_rerun,1,43,1,budget_during_objective,0.5,0.5,21,218.08668280839765,49.00000000000001,19.6,68.60000000000001,146.3803935829783,43,240,283,
MARL,200,3,budget_matched_rerun,1,43,1,budget_after_new_action,4.802,5.401,5,88.74949935623451,57.295340377843594,40.11100484544616,97.40634522328975,152.15814937499817,43,240,283,
BO-online,200,4,budget_matched_rerun,1,49,1,budget_during_objective,0.5,0.5,20,215.0144695770385,49.0,19.6,68.6,207.95321266702376,49,240,289,
GA,200,4,budget_matched_rerun,1,49,1,budget_during_objective,0.5,0.5,20,215.0144695770385,49.0,19.6,68.6,161.4534550840035,49,240,289,
MARL,200,4,budget_matched_rerun,1,49,1,budget_after_new_action,4.802,5.401,4,65.8694195745299,45.16039042421844,41.513455537934604,86.67384596215305,115.09311045799404,49,240,289,
BO-online,200,5,budget_matched_rerun,1,49,1,budget_during_objective,0.5,0.5,21,219.99999999999997,49.00000000000001,19.599999999999998,68.60000000000001,172.94153354200535,49,240,289,
GA,200,5,budget_matched_rerun,1,49,1,budget_during_objective,0.5,0.5,21,219.99999999999997,49.00000000000001,19.599999999999998,68.60000000000001,187.79735516698565,49,240,289,
MARL,200,5,budget_matched_rerun,1,49,1,budget_after_new_action,4.802,5.401,6,68.94182404221283,72.06729134803385,69.932858841619,142.00015018965286,164.9547935409937,49,240,289,
BO-online,200,6,budget_matched_rerun,1,73,1,budget_during_objective,0.5,0.5,25,220.00000000000003,49.00000000000001,19.6,68.60000000000001,289.4915555000771,73,240,313,
GA,200,6,budget_matched_rerun,1,73,1,budget_during_objective,0.5,0.5,25,220.00000000000003,49.00000000000001,19.6,68.60000000000001,283.4167162500089,73,240,313,
