figure_id,block,method,Q,trial,candidate_family_size,restricted_gap,grid_ne_gap,runtime_sec,stage2_calls,final_pE,final_pN
F1,F,Proposed,3,8,16.0,0.0,7.547262118,1.319527800194919,126,2.651005413562,2.720435647813
F1,F,Proposed,3,9,16.0,0.0,16.30054809,1.5731296995654702,167,4.565498305363,1.567246226774
F1,F,Proposed,3,10,16.0,0.0,26.10096077,0.8650667006149888,136,5.751377246717,1.00785704021
F1,F,Proposed,4,1,25.0,0.0,8.50657495,2.087057000026107,248,3.205679860055,3.051090044694
F1,F,Proposed,4,2,23.166666666666668,0.0,18.54168582,2.134424800053239,173,1.712534165767,3.925800554341
F1,F,Proposed,4,3,24.818181818181817,0.0,27.24349694,1.8947888994589448,304,5.814041747267,3.576923069714
F1,F,Proposed,4,4,25.0,0.0,7.394331247,2.857303399592638,286,4.478730954531,2.578812301387
F1,F,Proposed,4,5,24.333333333333332,0.0,10.90003706,0.6811979999765754,99,9.94809622933,0.601877104362
F1,F,Proposed,4,6,25.0,0.0,35.06052526,1.0407509999349713,145,5.692777029724,3.145686640967
F1,F,Proposed,4,7,25.0,0.0,17.43531349,1.6923705004155636,132,3.764271445867,2.621388400072
F1,F,Proposed,4,8,24.833333333333332,0.0,14.45854313,1.4580212999135256,160,3.033315855765,2.358477007264
F1,F,Proposed,4,9,25.0,0.0,15.56106406,1.1493472997099161,142,7.056675273466,0.941808633073
F1,F,Proposed,4,10,25.0,0.0,26.10096077,1.5775658003985882,206,5.751377246717,1.00785704021
F1,F,Proposed,5,1,36.0,0.0,0.2068661468,4.795472899451852,510,2.681450775288,3.241234674975
F1,F,Proposed,5,2,33.77777777777778,0.0,8.399683367,3.65803200006485,315,2.258808071642,3.40575487079
F1,F,Proposed,5,3,34.36363636363637,0.0,27.24349694,2.7299744999036193,377,5.814041747267,3.576923069714
F1,F,Proposed,5,4,36.0,0.0,7.394331247,3.720215399749577,386,4.478730954531,2.578812301387
F1,F,Proposed,5,5,31.333333333333332,0.0,10.90003706,0.8514227997511625,125,9.94809622933,0.601877104362
F1,F,Proposed,5,6,36.0,0.0,35.06052526,1.3365989997982979,188,5.692777029724,3.145686640967
F1,F,Proposed,5,7,36.0,0.0,15.94569785,1.6665997002273798,140,3.814695532293,2.575802745847
F1,F,Proposed,5,8,35.0,0.0,10.17521023,2.8608411997556686,290,2.809025361608,2.551374579152
F1,F,Proposed,5,9,36.0,0.0,16.10738255,3.997048200108111,363,3.249568172937,2.135521260903
F1,F,Proposed,5,10,36.0,0.0,26.10096077,2.369974600151181,277,5.751377246717,1.00785704021
F1,F,Proposed,6,1,48.875,0.0,0.2068661468,4.922038699500263,514,2.681450775288,3.241234674975
F1,F,Proposed,6,2,44.888888888888886,0.0,8.399683367,4.978005999699235,420,2.258808071642,3.40575487079
F1,F,Proposed,6,3,48.666666666666664,0.0,23.68894915,2.698353199288249,155,5.302902817684,4.071806458539
F1,F,Proposed,6,4,49.0,0.0,7.394331247,4.77800829987973,485,4.478730954531,2.578812301387
F1,F,Proposed,6,5,38.666666666666664,0.0,10.90003706,0.9716293998062611,148,9.94809622933,0.601877104362
F1,F,Proposed,6,6,49.0,0.0,17.22264275,2.965156599879265,320,3.285432073509,3.011545093571
