figure_id,block,trial,iteration,pE,pN,esp_gain,nsp_gain,restricted_gap,grid_true_esp_gain,grid_true_nsp_gain,grid_true_gap
C2,C,4,3,7.933880334827,1.797068261749,0.0,0.0,0.0,37.71979127,7.61024578,37.71979127
C2,C,5,1,0.5,0.5,47.00854583750133,146.70274272858455,146.70274272858455,90.79830893000002,164.20579091,164.20579091
C2,C,5,2,9.94809622933,0.5,0.0,4.0581631930910085,4.0581631930910085,10.900037000000026,11.44193447,11.44193447
C2,C,5,3,9.94809622933,0.601877104362,0.0,0.0,0.0,10.900037000000026,7.415088829999998,10.900037000000026
C2,C,6,1,0.5,0.5,50.491791685454125,152.47091612152963,152.47091612152963,90.79830893000002,164.20579091,164.20579091
C2,C,6,2,8.964773195642,0.5,2.253579984354957,29.8089370524653,29.8089370524653,17.614539100000016,17.463923939999997,17.614539100000016
C2,C,6,3,8.964773195642,1.567110787044,15.447321090596006,0.0,15.447321090596006,31.634824100000003,1.1239002999999954,31.634824100000003
C2,C,6,4,7.26627531096,1.567110787044,11.73004510258275,3.3994867515152265,11.73004510258275,42.26893609000001,13.561803499999996,42.26893609000001
C2,C,6,5,7.26627531096,2.515196978046,16.434666401175747,0.35979875059609867,16.434666401175747,35.010811390000015,4.4418285,35.010811390000015
C2,C,6,6,6.236657681798,2.515196978046,0.0,2.5862529647364596,2.5862529647364596,41.86434631,15.572996860000003,41.86434631
C2,C,6,7,6.236657681798,3.123297481751,7.529243855221267,0.0,7.529243855221267,31.42525780999999,10.40220574,31.42525780999999
C2,C,6,8,5.71069762942,3.123297481751,0.0,0.0,0.0,35.060525229999996,15.604399190000002,35.060525229999996
C2,C,7,1,0.5,0.5,52.38328216126749,123.36625412401841,123.36625412401841,90.79830893000002,164.20579091,164.20579091
C2,C,7,2,3.814695532293,0.5,1.1915217061866485,12.094566144606357,12.094566144606357,6.522596400000026,68.45637584,68.45637584
C2,C,7,3,3.814695532293,0.800539140832,28.44376846096786,41.052868856141885,41.052868856141885,6.522596400000026,56.37583893,56.37583893
C2,C,7,4,8.249550691499,0.800539140832,0.0,7.258612700914622,7.258612700914622,5.794583100000011,12.080536910000003,12.080536910000003
C2,C,7,5,8.249550691499,1.540367534557,21.080686125295188,0.0,21.080686125295188,37.0800821,8.981104800000004,37.0800821
C2,C,7,6,5.938126386094,1.540367534557,6.507417305937736,0.0,6.507417305937736,10.627149099999997,7.246007150000004,10.627149099999997
C2,C,7,7,5.938126386094,1.540367534557,6.507417305937736,0.0,6.507417305937736,10.627149099999997,7.246007150000004,10.627149099999997
C2,C,7,8,5.227502422804,1.540367534557,5.352267243505807,8.475143906130349,8.475143906130349,7.3764541999999835,9.939234199999994,9.939234199999994
C2,C,7,9,5.227502422804,1.982262936727,11.55529287763919,0.0,11.55529287763919,15.501764499999993,3.9725016199999885,15.501764499999993
C2,C,7,10,5.128114335459,1.982262936727,0.3045915870210223,0.0,0.3045915870210223,5.679062299999998,0.0,5.679062299999998
C2,C,7,11,5.128114335459,1.982262936727,0.3045915870210223,0.0,0.3045915870210223,5.679062299999998,0.0,5.679062299999998
C2,C,7,12,4.285352983508,1.982262936727,2.7843456746088435,1.226146917638701,2.7843456746088435,4.358698000000004,4.977167809999997,4.977167809999997
C2,C,7,13,4.285352983508,2.386871355721,16.146731829886733,0.0,16.146731829886733,12.861254799999998,4.812135799999993,12.861254799999998
C2,C,7,14,3.998496933914,2.386871355721,0.0,0.0,0.0,17.108803199999997,6.35570100999999,17.108803199999997
C2,C,8,1,0.5,0.5,25.33949544089407,77.70439135363857,77.70439135363857,90.79830893000002,164.20579091,164.20579091
C2,C,8,2,3.802706484016,0.5,34.28068996120597,44.19396822853302,44.19396822853302,6.522596400000026,68.45637584,68.45637584
C2,C,8,3,3.802706484016,3.482312506747,17.505977058548794,3.922506341566816,17.505977058548794,23.9764189,15.888067989999996,23.9764189
C2,C,8,4,1.993269916687,3.482312506747,0.0,3.915196215578277,3.915196215578277,12.782375299999998,13.133595900000003,13.133595900000003
C2,C,8,5,1.993269916687,3.299047722073,0.0,0.0,0.0,0.45383270000000664,0.0,0.45383270000000664
C2,C,9,1,0.5,0.5,29.100388681058142,74.25192760378678,74.25192760378678,90.79830893000002,164.20579091,164.20579091
C2,C,9,2,3.325296441698,0.5,29.784491492263655,72.28406199601983,72.28406199601983,8.233140600000013,78.20615837,78.20615837
C2,C,9,3,3.325296441698,2.10159554685,0.0,0.0,0.0,3.4662673999999924,13.776628169999995,13.776628169999995
C2,C,10,1,0.5,0.5,52.22903098487221,65.41747630620608,65.41747630620608,90.79830893000002,164.20579091,164.20579091
C2,C,10,2,5.628475340586,0.5,0.24487499746979324,21.864599960690853,21.864599960690853,4.213619500000021,46.38329793,46.38329793
C2,C,10,3,5.628475340586,0.993183187355,0.9232315716602528,1.3283809117042154,1.3283809117042154,4.213619500000021,26.249069739999996,26.249069739999996
C2,C,10,4,5.751377246717,0.993183187355,0.0,0.2823759654273488,0.2823759654273488,3.0011407000000077,26.100960760000007,26.100960760000007
C2,C,10,5,5.751377246717,1.00785704021,0.0,0.0,0.0,3.0011407000000077,26.100960760000007,26.100960760000007
