trial,seed,n_users,iteration,offloading_size,social_cost
2,20361003,100,14,14,2025.7445716600619
2,20361003,100,15,15,2021.0445592629399
2,20361003,100,16,16,2018.016915552345
2,20361003,100,17,17,2017.0957065452099
2,20361003,100,18,17,2017.0957065452099
3,20361004,100,0,0,2444.1443180307206
3,20361004,100,1,1,2401.7254645173657
3,20361004,100,2,2,2359.607323353566
3,20361004,100,3,3,2323.1257272844314
3,20361004,100,4,4,2286.919710240276
3,20361004,100,5,5,2254.709337622866
3,20361004,100,6,6,2224.3148974773344
3,20361004,100,7,7,2196.24557776678
3,20361004,100,8,8,2169.7578425727065
3,20361004,100,9,9,2146.7306223494957
3,20361004,100,10,10,2125.95079710374
3,20361004,100,11,11,2107.9335273321376
3,20361004,100,12,12,2093.213981811294
3,20361004,100,13,13,2080.0226523433057
3,20361004,100,14,14,2070.6188453999184
3,20361004,100,15,15,2063.875176000782
3,20361004,100,16,16,2058.4866506744006
3,20361004,100,17,17,2054.066122355743
3,20361004,100,18,18,2052.8790615321786
3,20361004,100,19,18,2052.8790615321786
4,20361005,100,0,0,2304.6756104878964
4,20361005,100,1,1,2255.615901373717
4,20361005,100,2,2,2220.055479275412
4,20361005,100,3,3,2188.8834850484914
4,20361005,100,4,4,2158.6448072659455
4,20361005,100,5,5,2130.5648487920985
4,20361005,100,6,6,2105.696774999455
4,20361005,100,7,7,2085.628699057747
4,20361005,100,8,8,2066.977965549948
4,20361005,100,9,9,2052.4333150943
4,20361005,100,10,10,2039.7777953262168
4,20361005,100,11,11,2028.0067568833824
4,20361005,100,12,12,2018.6362731204267
4,20361005,100,13,13,2009.52143012255
4,20361005,100,14,14,2001.9154207003119
4,20361005,100,15,15,1995.7592937137786
4,20361005,100,16,16,1992.1088257553054
4,20361005,100,17,17,1992.1040350065414
5,20361006,100,0,0,2405.9464127691467
5,20361006,100,1,1,2360.6534206368674
5,20361006,100,2,2,2320.726063027156
5,20361006,100,3,3,2281.722274279011
5,20361006,100,4,4,2246.637491876747
5,20361006,100,5,5,2214.676704082135
5,20361006,100,6,6,2183.499620773213
5,20361006,100,7,7,2156.572885136389
5,20361006,100,8,8,2133.20721441683
5,20361006,100,9,9,2111.328838380931
5,20361006,100,10,10,2089.7551284290694
5,20361006,100,11,11,2070.4333357434316
5,20361006,100,12,12,2052.632196147323
5,20361006,100,13,13,2036.9731587021947
5,20361006,100,14,14,2023.1877073872306
5,20361006,100,15,15,2012.241976167809
5,20361006,100,16,16,2006.5598527737152
5,20361006,100,17,17,2002.7798204661556
5,20361006,100,18,18,2000.4323867596306
5,20361006,100,19,19,1999.6368081071996
6,20361007,100,0,0,2160.7722034578724
