trial,trial_seed,n_users,ratio,F,B,cE,cN,final_pE,final_pN,price_margin_E,price_margin_N,comp_utilization,band_utilization,offloading_ratio,offloading_size,social_cost,esp_revenue,nsp_revenue,joint_revenue,restricted_gap,outer_iterations,stage2_oracle_calls,runtime_sec,stage1_method,stopping_reason
3,502379,50,0.3,34.64101615137755,115.47005383792515,0.01,0.01,6.696564138238584,2.019285813992009,6.686564138238584,2.009285813992009,0.4768673129700244,0.2619815628114508,0.16,8,1258.503722940731,110.45647828584595,60.78295571748945,171.2394340033354,0.0,6,61,1.4234869005158544,vbbr_brd,verified_gain_tolerance
3,502379,50,0.4,40.0,100.0,0.01,0.01,4.8112462112716035,2.330157734162474,4.801246211271604,2.3201577341624744,0.5483876984912378,0.3058699076797617,0.18,9,1230.4078555623234,105.31777438756038,70.9666431950761,176.28441758263648,0.0,5,55,1.3502946998924017,vbbr_brd,verified_gain_tolerance
3,502379,50,0.5,44.721359549995796,89.44271909999159,0.01,0.01,5.389504593736987,2.5169818424974912,5.379504593736987,2.5069818424974915,0.4634331171018433,0.32903672773792997,0.18,9,1248.3366533767353,111.49216425552302,73.78032423469637,185.2724884902194,0.0,5,49,1.1648651994764805,vbbr_brd,verified_gain_tolerance
3,502379,50,1.0,63.245553203367585,63.245553203367585,0.01,0.01,5.875252427053817,1.589503803615659,5.865252427053817,1.579503803615659,0.3138580162911529,0.5855562634944342,0.18,9,1227.7683739955576,116.4259871920268,58.49507505746255,174.92106224948935,0.0,3,37,0.844446400180459,vbbr_brd,verified_gain_tolerance
3,502379,50,1.5,77.45966692414834,51.63977794943222,0.01,0.01,6.722253538118028,1.9989145516354245,6.712253538118028,1.9889145516354245,0.212853661165823,0.5887860516978258,0.16,8,1258.3098705489074,110.66877488596018,60.47251130932481,171.14128619528498,0.0,4,43,0.8038795003667474,vbbr_brd,verified_gain_tolerance
3,502379,50,2.0,89.44271909999159,44.721359549995796,0.01,0.01,5.6165453911029,2.435155215749883,5.6065453911029,2.425155215749883,0.2269848421883729,0.6690384695760556,0.18,9,1250.565566405346,113.82487774315089,72.56139573376826,186.38627347691914,0.0,4,43,0.914962699636817,vbbr_brd,verified_gain_tolerance
3,502379,50,2.5,100.0,40.0,0.01,0.01,8.939154840831117,1.5065809475449887,8.929154840831117,1.4965809475449887,0.14297692878935975,0.8755536586548119,0.16,8,1276.2354289425257,127.66631358266778,52.413476963844005,180.0797905465118,0.0,4,43,0.8018988007679582,vbbr_brd,verified_gain_tolerance
3,502379,50,3.0,109.54451150103323,36.51483716701107,0.01,0.01,5.550186103278527,2.4587583325692175,5.540186103278527,2.4487583325692177,0.1864369933879905,0.8154589836727558,0.18,9,1249.9188372326807,113.14804830495957,72.91509008621586,186.0631383911754,0.0,3,37,0.7193632004782557,vbbr_brd,verified_gain_tolerance
3,502379,50,4.0,126.49110640673517,31.622776601683793,0.01,0.01,4.7871900837829235,2.349527413941131,4.777190083782924,2.339527413941131,0.17385058603978357,0.9632503021519304,0.18,9,1230.4707450168444,105.0530516216444,71.26352365438795,176.31657527603235,0.0,4,43,0.7630035001784563,vbbr_brd,verified_gain_tolerance
4,502380,50,0.1,20.0,200.0,0.01,0.01,4.220131946240365,0.5,4.210131946240365,0.49,0.9999999999999998,0.39174880334345297,0.18,9,1039.697038289055,84.20263892480727,38.39138272765839,122.59402165246567,0.0,2,31,0.5333499005064368,vbbr_brd,verified_gain_tolerance
